code,name,div_per_10,total_shares,ex_date
920198,微创光电,3.0,56958920,2018-03-05
002793,罗欣药业,1.0,200000000,2018-03-12
002382,蓝帆医疗,2.0,494355000,2018-03-16
002245,蔚蓝锂芯,0.4,987309171,2018-03-16
300476,胜宏科技,3.0,427615542,2018-03-16
002837,英维克,0.6,202584346,2018-03-16
300474,景嘉微,1.5,270396000,2018-03-16
603225,新凤鸣,2.6,602000000,2018-03-21
300204,舒泰神,2.5,477812254,2018-03-20
000063,中兴通讯,3.3,4192671843,
920809,安达科技,1.5,383260000,2018-03-26
002661,克明食品,2.0,333556523,2018-03-30
300033,同花顺,9.0,537600000,2018-03-30
300414,中光防雷,0.8,170912351,2018-03-29
000050,深天马A,0.7,2048123051,2018-04-03
603707,健友股份,1.5,423500000,2018-04-03
300536,农尚环境,0.7,167593219,2018-04-03
300146,汤臣倍健,3.3,1469271880,2018-04-04
600507,方大特钢,16.0,1326092985,2018-04-04
000683,博源化工,0.2,3967172992,2018-04-04
300618,寒锐钴业,10.0,120000000,2018-04-10
002677,浙江美大,4.65,646076564,2018-04-10
300041,回天新材,5.0,425712412,2018-04-10
002597,金禾实业,6.0,564236186,2018-04-11
300286,安科瑞,1.0,144597000,2018-04-10
002745,木林森,2.47,528327918,2018-04-11
000790,华神科技,0.8,431021374,2018-04-10
002845,同兴达,0.8,201347968,2018-04-10
300590,移为通信,2.0,160000000,2018-04-12
002262,恩华药业,0.5,1009147011,2018-04-12
603456,九洲药业,2.0,447846206,2018-04-12
300545,联得装备,2.0,72066136,2018-04-12
603615,茶花股份,2.5,240000000,2018-04-13
300302,同有科技,0.2,421057980,2018-04-13
300016,北陆药业,0.37,325993251,2018-04-16
920304,迪尔化工,1.2,86760000,2018-04-17
601678,滨化股份,2.2,1188000000,2018-04-17
600527,江南高纤,1.5,962089390,2018-04-16
002352,顺丰控股,2.2,4413572185,2018-04-16
603926,铁流股份,11.5,120000000,2018-04-18
300059,东方财富,0.2,4288779718,2018-04-18
300563,神宇股份,1.0,80000000,2018-04-19
002014,永新股份,4.5,335744483,2018-04-18
002648,卫星化学,0.88,1063710806,2018-04-18
002812,恩捷股份,11.0,136450000,2018-04-17
300715,凯伦股份,2.0,72000000,2018-04-17
000910,大亚圣象,1.2,555270000,2018-04-18
600113,浙江东日,0.91,318600000,2018-04-17
002877,智能自控,0.8,122240000,2018-04-18
000301,东方盛虹,1.0,1218236445,2018-04-19
300193,佳士科技,0.5,507307078,2018-04-19
300102,乾照光电,0.3,716403311,2018-04-18
002419,天虹股份,4.5,800200000,2018-04-19
002404,嘉欣丝绸,1.8,577673641,2018-04-19
603677,奇精机械,2.0,140177400,2018-04-18
002796,世嘉科技,2.0,102506483,2018-04-18
002737,葵花药业,10.0,292000000,2018-04-18
300199,翰宇药业,2.0,934692540,2018-04-19
920879,基康技术,1.0,138000000,2018-04-20
300416,苏试试验,1.0,125600000,2018-04-19
300393,中来股份,5.010571,241215681,2018-04-19
300511,雪榕生物,1.2,228550000,2018-04-23
300584,海辰药业,2.5,80000000,2018-04-20
300357,我武生物,4.0,161600000,2018-04-19
002728,特一药业,5.0,200000000,2018-04-20
300365,恒华科技,2.0,197328423,2018-04-19
300483,首华燃气,0.3,61500000,2018-04-20
300428,立中集团,3.3,242400000,2018-04-20
002117,东港股份,4.0,363777614,2018-04-20
603626,科森科技,2.5,296876800,2018-04-24
600728,佳都科技,0.31,1617339924,2018-04-20
920799,艾融软件,10.0,33690000,2018-04-23
920765,美之高,1.48633,55700000,2018-04-24
002859,洁美科技,1.6,255700000,2018-04-24
300491,通合科技,0.2,145656000,2018-04-25
300690,双一科技,10.0,69340000,2018-04-23
603730,岱美股份,5.0,410365000,2018-04-23
300394,天孚通信,3.2,185850000,2018-04-24
600828,茂业商业,1.5,1731982546,2018-04-25
300383,光环新网,0.199999,1446351488,2018-04-24
300270,中威电子,0.2,272503000,2018-04-24
000888,峨眉山A,1.0,526913102,2018-04-25
000507,珠海港,0.36,789540919,2018-04-25
600829,人民同泰,5.0,579888597,2018-04-25
603518,锦泓集团,1.58,180553993,2018-04-25
002706,良信股份,2.5,524015580,2018-04-25
002572,索菲亚,4.5,923426310,2018-04-25
000905,厦门港务,0.2,531000000,2018-04-25
600683,京投发展,2.0,740777597,2018-04-24
603716,塞力医疗,1.0,71316000,2018-04-25
920533,骏创科技,4.0,23300000,2018-04-27
002911,佛燃能源,3.0,556000000,2018-04-26
002469,三维化学,0.5,503262849,2018-04-26
603018,华设集团,4.2,212036600,2018-04-26
920942,恒立钻具,1.5,24000000,2018-04-27
603021,*ST华鹏,0.8,319948070,2018-04-27
600284,浦东建设,1.8,693040000,2018-04-26
000838,*ST发展,0.36,1100462170,2018-04-26
603801,志邦家居,6.0,160000000,2018-04-25
002782,可立克,2.0,426000000,2018-04-26
002244,滨江集团,0.83,3111443890,2018-04-25
002717,*ST岭南,1.749961,436236400,2018-04-24
300130,新国都,1.499877,265508400,2018-04-25
600114,东睦股份,3.0,436347649,2018-04-26
002229,鸿博股份,0.6,502752213,2018-04-25
002741,光华科技,1.0,374228798,2018-04-25
002357,富临运业,1.0,313489036,2018-04-27
002644,佛慈制药,0.13,510657000,2018-04-26
300296,利亚德,1.1,1695251051,2018-04-27
300507,苏奥传感,1.7,120006000,2018-04-27
300677,英科医疗,1.5,98234307,2018-04-27
002226,江南化工,0.65,1248981690,2018-04-27
600577,精达股份,0.8,1955324246,2018-04-27
300429,强力新材,1.0,257185994,2018-04-26
603536,惠发食品,2.5,120000000,2018-04-26
601882,海天精工,0.6,522000000,2018-04-27
000895,双汇发展,11.0,3299558284,2018-04-27
603579,荣泰健康,5.0,140000000,2018-04-27
603027,千禾味业,1.33,325985200,2018-04-26
600655,豫园股份,1.5,1437321976,2018-04-27
603288,海天味业,8.5,2701206700,2018-04-26
002256,兆新股份,0.75,1882411872,2018-04-27
002838,道恩股份,1.6,126000000,2018-04-26
300740,水羊股份,4.0,160000000,2018-04-27
000552,甘肃能化,1.0,2286971050,2018-04-27
002860,星帅尔,3.0,75978680,2018-04-27
002863,今飞凯达,0.9,221500000,2018-04-27
002820,桂发祥,3.0,128000000,2018-04-27
002749,国光股份,20.0,75000000,2018-05-02
000848,承德露露,5.0,978562728,2018-04-27
002233,塔牌集团,3.0,1192275016,2018-04-27
002768,国恩股份,1.3,271250000,2018-04-27
603826,坤彩科技,0.6,360000000,2018-04-27
002891,中宠股份,1.0,100000000,2018-05-02
002084,海鸥住工,1.0,506392628,2018-05-02
300256,星星科技,0.2,648803942,2018-04-27
920075,柏星龙,1.928566,51852000,
