code,name,div_per_10,total_shares,ex_date
300617,安靠智电,5.0,129343605,2021-03-02
000690,宝新能源,3.0,2175887862,2021-03-04
920304,迪尔化工,1.8,112788000,2021-03-11
300314,戴维医疗,1.5,288000000,2021-03-16
300896,爱美客,35.0,120200000,2021-03-16
300443,金雷股份,6.0,261753484,2021-03-17
002130,沃尔核材,0.3,1258927062,2021-03-19
601218,吉鑫科技,2.0,977360000,2021-03-24
920039,国义招标,3.0,140020000,2021-03-31
300214,日科化学,0.85,425812614,2021-03-31
002846,英联股份,1.49971,198971177,2021-03-30
002402,和而泰,1.0,914016928,2021-03-31
300033,同花顺,12.0,537600000,2021-03-31
002138,顺络电子,2.0,806318354,2021-03-31
000708,中信特钢,7.0,5047143433,2021-04-01
688018,乐鑫科技,5.0,80030500,2021-04-01
920504,博迅生物,5.3,35000000,2021-04-06
300860,锋尚文化,10.0,72074057,2021-04-06
300146,汤臣倍健,7.0,1581020554,2021-04-08
002107,沃华医药,2.6,577209600,2021-04-09
300738,奥飞数据,0.75,212024808,2021-04-08
002054,德美化工,0.7,482115452,2021-04-09
002139,拓邦股份,0.5,1146149409,2021-04-09
002014,永新股份,5.0,514016724,2021-04-14
300697,电工合金,4.0,208000000,2021-04-14
300822,贝仕达克,5.0,106670000,2021-04-14
920523,德瑞锂电,1.0,59924330,2021-04-16
002887,绿茵生态,5.0,312000000,2021-04-13
002258,利尔化学,2.0,524643263,2021-04-13
300821,东岳硅材,1.25,1200000000,2021-04-14
605369,拱东医疗,18.0,80000000,2021-04-15
300363,博腾股份,1.210436,542552533,2021-04-15
002419,天虹股份,2.1,1200300000,2021-04-14
300801,泰和科技,2.5,216000000,2021-04-16
300556,丝路视觉,0.8,117976825,2021-04-16
603738,泰晶科技,0.7,173303798,2021-04-14
300563,神宇股份,1.5,94577259,2021-04-16
300285,国瓷材料,1.0,1003810338,2021-04-16
603516,淳中科技,4.0,133252839,2021-04-16
600681,百川能源,3.3,1442740310,2021-04-15
920230,欧康医药,1.5,57545423,2021-04-16
002245,蔚蓝锂芯,0.3,1035821526,2021-04-16
603976,正川股份,0.36,151200000,2021-04-16
300629,新劲刚,1.0,131526341,2021-04-16
300231,银信科技,2.0,442100220,2021-04-16
300848,美瑞新材,2.0,66670000,2021-04-20
300016,北陆药业,0.6,494494476,2021-04-19
300403,汉宇集团,1.1,603000000,2021-04-20
603536,惠发食品,0.9,171886000,2021-04-21
920394,民士达,3.0,100000000,2021-04-29
000989,九芝堂,4.0,869354236,2021-04-20
600885,宏发股份,3.4,744761552,2021-04-21
688208,道通科技,5.0,450000000,2021-04-19
603385,惠达卫浴,2.43,379762298,2021-04-20
300416,苏试试验,1.5,203376948,2021-04-21
300496,中科创达,2.2,423150107,2021-04-20
600211,西藏药业,5.1,247937843,2021-04-19
603677,奇精机械,1.0,192136910,2021-04-19
920699,海达尔,40.0,10000000,2021-04-21
300677,英科医疗,30.0,352228508,2021-04-20
002352,顺丰控股,3.3,4556440455,2021-04-20
300224,正海磁材,2.0,820216556,2021-04-21
002727,一心堂,3.0,596190525,2021-04-21
603335,迪生力,0.43,428144600,2021-04-21
600765,中航重机,0.495,939680840,2021-04-20
002988,豪美新材,1.3,232770000,2021-04-23
002925,盈趣科技,10.0,459733788,2021-04-21
601318,中国平安,14.0,18280241410,2021-04-22
300138,晨光生物,1.0,563080506,2021-04-22
300761,立华股份,1.5,403880000,2021-04-21
002649,博彦科技,2.18,532206170,2021-04-22
603396,金辰股份,2.4,105779334,2021-04-21
000612,焦作万方,0.5,1192199394,2021-04-21
300119,瑞普生物,4.0,404359363,2021-04-22
002911,佛燃能源,6.0,556000000,2021-04-22
603186,华正新材,2.8,142045312,2021-04-23
002876,三利谱,2.0,124800000,2021-04-23
300902,国安达,4.0,127980000,2021-04-23
300887,谱尼测试,5.0,76000000,2021-04-22
002315,焦点科技,5.0,305500000,2021-04-23
600903,贵州燃气,0.55,1138185027,2021-04-22
688057,金达莱,10.0,276000000,2021-04-23
000062,深圳华强,2.0,1045909322,2021-04-23
300741,华宝股份,16.0,615880000,2021-04-23
300725,药石科技,1.0,153615151,2021-04-26
603938,三孚股份,0.8,150166600,2021-04-23
920260,中寰股份,6.0,42000000,2021-04-26
603659,璞泰来,4.1,496028364,2021-04-26
300558,贝达药业,3.1,413162913,2021-04-26
000791,甘肃能源,1.3,1359576680,2021-04-27
688389,普门科技,1.78,422200000,2021-04-26
920765,美之高,3.25,55700000,2021-04-30
002522,浙江众成,0.8,905779387,2021-04-26
002709,天赐材料,2.0,546129449,2021-04-27
002825,纳尔股份,4.0,171221847,2021-04-27
600577,精达股份,0.2,1921453960,2021-04-26
603881,数据港,0.6,234947998,2021-04-26
300824,北鼎股份,2.5,217400000,2021-04-27
300690,双一科技,10.0,110878505,2021-04-26
300845,捷安高科,6.0,92356000,2021-04-27
600309,万华化学,13.0,3139746626,2021-04-26
600523,贵航股份,2.0,404311320,2021-04-28
300206,理邦仪器,4.330288,581721846,2021-04-28
300837,浙矿股份,3.0,100000000,2021-04-27
300727,润禾材料,1.25,126880000,2021-04-28
920407,驰诚股份,2.0,54180000,2021-04-29
300179,四方达,1.5,494328999,2021-04-28
002706,良信股份,3.0,784736895,2021-04-27
688106,金宏气体,2.5,484333400,2021-04-27
000910,大亚圣象,1.6,547397500,2021-04-28
002079,苏州固锝,0.4,768864673,2021-04-27
300790,宇瞳光学,3.0,210119144,2021-04-27
688037,芯源微,2.0,84000000,2021-04-28
300765,石药创新,1.0,420000000,2021-04-28
601882,海天精工,2.38,522000000,2021-04-27
920961,创远信科,1.0,84550276,2021-04-30
688676,金盘科技,2.0,425700000,2021-04-29
002653,海思科,3.72,1074479620,2021-04-28
920768,拾比佰,0.2,70970000,2021-04-29
603010,万盛股份,4.0,346623324,2021-04-27
300877,金春股份,7.0,120000000,2021-04-29
002850,科达利,2.0,232920451,2021-04-29
300623,捷捷微电,1.6,490998199,2021-04-29
300453,三鑫医疗,2.0,262685000,2021-04-29
300371,汇中股份,2.3,167757520,2021-04-29
603595,ST东尼,0.2247,212925243,2021-04-28
002225,濮耐股份,0.6,1010320936,2021-04-30
300481,濮阳惠成,2.0,257059500,2021-04-30
300816,艾可蓝,3.16,80000000,2021-04-28
002117,东港股份,4.0,545666421,2021-04-29
002993,奥海科技,3.0,180800000,2021-04-29
300286,安科瑞,2.0,214939625,2021-04-30
603327,福蓉科技,3.6,401000000,2021-04-28
002233,塔牌集团,4.3,1192275016,2021-04-28
300501,海顺新材,0.5,156529800,2021-04-29
002469,三维化学,1.5,648862630,2021-04-30
002404,嘉欣丝绸,2.0,577673641,2021-04-29
920694,中裕科技,5.0,76378500,2021-04-29
300852,四会富仕,4.0,56628200,2021-04-30
300682,朗新科技,1.2,1021130306,2021-04-29
601015,陕西黑猫,0.5,1629789473,2021-04-29
300999,金龙鱼,1.11,5421591536,2021-04-30
920357,雅葆轩,4.0,45000000,2021-04-30
002553,南方精工,1.0,348000000,2021-04-30
600828,茂业商业,1.0,1731982546,2021-04-30
688386,泛亚微透,5.0,70000000,2021-04-29
300019,硅宝科技,2.0,391160200,2021-04-29
000830,鲁西化工,5.0,1904319011,2021-04-30
603267,鸿远电子,3.7,231476000,2021-04-29
300726,宏达电子,1.6,400100000,2021-05-06
002937,兴瑞科技,1.8,297526500,2021-04-30
300715,凯伦股份,6.0,170752000,2021-04-30
002320,海峡股份,1.4,1485955458,2021-04-29
300488,恒锋工具,1.5,165679281,2021-04-30
688186,广大特材,5.0,164800000,2021-04-30
002961,瑞达期货,2.7,445006363,2021-04-30
002614,奥佳华,3.0,625252942,2021-04-30
000739,普洛药业,2.43,1178523492,2021-04-29
603212,赛伍技术,0.5,400010000,2021-04-29
688360,德马科技,3.5,85676599,2021-04-29
300782,卓胜微,10.0,185311544,2021-04-30
300211,*ST亿通,0.06,302675973,2021-04-30
300723,一品红,2.5,160848300,2021-04-29
002004,华邦健康,2.2,1979919191,2021-04-30
300823,建科智能,4.28,93559091,2021-04-30
000878,云南铜业,1.0,1699678560,2021-04-30
002812,恩捷股份,1.696948,888160636,2021-04-30
601126,四方股份,9.8,813172000,2021-04-29
920370,新安洁,0.68,306280000,2021-04-30
002135,东南网架,0.27,1034402200,2021-04-29
920870,恒进感应,4.6,50000000,
002546,新联电子,1.2,834049096,2021-04-29
000099,中信海直,0.75,606070420,2021-04-30
300866,安克创新,8.0,406427207,2021-04-29
000011,深物业A,4.1,595979092,2021-04-30
000034,神州数码,1.891577,659598277,2021-04-30
002688,金河生物,1.0,635289655,2021-04-30
300787,海能实业,3.5,127320000,2021-05-06
002726,ST龙大,1.819845,1000019378,2021-04-30
688188,柏楚电子,12.9,100000000,2021-04-30
603429,*ST集友,1.0,380238957,2021-04-30
600477,杭萧钢构,1.05,2153737411,2021-04-30
600983,惠而浦,0.5,766439000,
002968,新大正,5.5,107464000,2021-04-30
300542,新晨科技,0.9,300083479,2021-04-30
002616,长青集团,2.0,741895452,2021-04-30
600872,中炬高新,6.8,796637194,2021-04-30
300850,新强联,4.1,106000000,2021-05-07
300732,设研院,2.5,229615180,2021-04-30
000975,山金国际,2.5,2776722265,2021-04-30
002206,海利得,2.0,1223028645,2021-04-30
002798,帝欧水华,2.0,388905564,2021-04-30
000928,中钢国际,1.44,1256662942,2021-04-30
300509,新美星,1.2,296400000,2021-05-06
003000,劲仔食品,2.0,400010000,2021-05-06
002367,康力电梯,3.0,797652687,2021-05-07
688388,嘉元科技,2.5,230876000,2021-05-06
000958,电投产融,0.6,5383418520,
003022,联泓新科,2.0,1027360000,2021-05-07
300655,晶瑞电材,2.000373,188700668,2021-05-07
603500,祥和实业,2.0,176400000,2021-05-06
603899,晨光股份,5.0,927427600,2021-05-07
002945,华林证券,0.91,2700000000,2021-05-10
002818,富森美,6.0,751739260,2021-05-07
605009,豪悦护理,10.0,106670000,2021-05-10
920799,艾融软件,4.5,74495500,2021-05-10
603657,春光科技,5.0,134400000,2021-05-11
920682,球冠电缆,3.0,160000000,2021-05-17
000932,华菱钢铁,2.1,6129077211,2021-05-10
603906,龙蟠科技,1.77,344350966,2021-05-10
603042,华脉科技,0.53,136000000,2021-05-10
920275,驱动力,1.5,114484000,2021-05-12
002484,江海股份,1.2,823779799,2021-05-10
300871,回盛生物,4.1,110507018,2021-05-10
603530,神马电力,1.3,400044490,2021-05-07
