code,name,div_per_10,total_shares,ex_date
002538,ST司特,1.0,296000000,2015-03-02
920496,许昌智能,0.95,32500000,
002495,佳隆股份,1.0,281313900,2015-03-10
300286,安科瑞,2.0,143000000,2015-03-10
002693,双成药业,1.0,270000000,2015-03-10
002195,岩山科技,1.0,348693088,2015-03-17
002206,海利得,3.0,447580500,2015-03-17
002107,沃华医药,2.1,163980000,2015-03-19
300358,楚天科技,3.0,116798800,2015-03-19
002249,大洋电机,2.73,861411350,2015-03-19
600794,保税科技,1.0,541624617,2015-03-18
002575,群兴玩具,1.0,267600000,2015-03-19
002270,华明装备,0.5,189150000,2015-03-20
300131,英唐智控,1.5,202202994,2015-03-20
002245,蔚蓝锂芯,0.8,442616666,2015-03-20
300059,东方财富,0.6,1209600000,2015-03-20
300357,我武生物,3.0,161600000,2015-03-23
002657,中科金财,0.6,158489551,2015-03-20
920476,海能技术,1.2,19266900,2015-03-24
002622,皓宸医疗,10.0,150000000,2015-03-23
300363,博腾股份,1.16,109000000,2015-03-26
300248,新开普,1.0,142720000,2015-03-25
002380,科远智慧,1.4,102000000,2015-03-25
002656,摩登大道,1.1,200000000,2015-03-25
002331,皖通科技,0.5,243282678,2015-03-26
000735,罗牛山,0.2,880132000,2015-03-26
300193,佳士科技,0.5,221500000,2015-03-27
002654,万润科技,0.5,176000000,2015-03-27
600513,联环药业,0.85,156700189,2015-04-02
300055,万邦达,0.6,245061605,2015-04-07
002262,恩华药业,0.6,393120000,2015-04-08
600566,济川药业,4.0,781454701,2015-04-07
002487,大金重工,0.1,360000000,2015-04-08
000690,宝新能源,3.0,1726612500,2015-04-07
300294,博雅生物,6.0,75800000,2015-04-07
300134,大富科技,4.0,384000000,2015-04-08
002130,沃尔核材,0.5,569430897,2015-04-07
002178,延华智能,0.6,372134231,2015-04-08
300267,尔康制药,1.0,454480000,2015-04-08
300179,四方达,1.0,216000000,2015-04-10
002727,一心堂,6.0,260300000,2015-04-09
300328,宜安科技,2.0,112000000,2015-04-09
002595,豪迈科技,5.0,400000000,2015-04-10
300351,永贵电器,2.5,153270000,2015-04-09
002357,富临运业,1.2,195930648,2015-04-08
300204,舒泰神,3.0,240120000,2015-04-09
300253,卫宁健康,1.3,218537943,2015-04-10
600593,大连圣亚,1.5,92000000,2015-04-09
300146,汤臣倍健,5.0,728010940,2015-04-09
002717,*ST岭南,0.75,162868000,2015-04-09
002501,*ST利源,1.8,468000000,2015-04-09
002349,精华制药,1.0,260000000,2015-04-10
000100,TCL科技,0.8,12202723782,2015-04-09
002252,上海莱士,1.0,1365241810,2015-04-09
300139,晓程科技,1.0,109600000,2015-04-10
601010,ST文峰,3.6,739200000,2015-04-10
002256,兆新股份,0.6,314600000,2015-04-13
002282,博深股份,1.0,225420000,2015-04-10
300353,东土科技,0.24,171240960,2015-04-13
002600,领益智造,1.0,317800000,2015-04-10
002415,海康威视,4.0,4069128026,2015-04-14
300127,银河磁体,1.5,323146360,2015-04-14
002593,日上集团,0.6,212000000,2015-04-14
002164,宁波东力,1.0,445625000,2015-04-13
000001,平安银行,1.74,11424894787,2015-04-13
