code,name,div_per_10,total_shares,ex_date
920110,雷特科技,0.428,10000000,2015-07-21
002249,大洋电机,1.16,1722822700,2015-08-21
002311,海大集团,0.65,1537363254,2015-08-21
000565,渝三峡A,0.8,173436888,2015-08-31
002317,众生药业,1.0,369306000,2015-09-01
603338,浙江鼎力,1.0,65000000,2015-09-02
601318,中国平安,1.8,18280241410,2015-09-09
000517,荣安地产,0.5,1061307495,2015-09-11
300450,先导智能,2.0,68000000,2015-09-10
002536,飞龙股份,2.0,111269292,2015-09-11
600481,双良节能,0.5,810247904,2015-09-09
600310,广西能源,2.4,275925000,2015-09-14
600252,中恒集团,3.25,1158369049,2015-09-16
601857,中国石油,0.6247,183020977818,2015-09-18
600446,金证股份,1.12,276835500,2015-09-17
600063,皖维高新,0.2,1645894692,2015-09-18
601222,林洋能源,5.0,406601571,2015-09-21
601009,南京银行,5.0,3365955526,2015-09-23
600028,中国石化,0.9,121071209646,2015-09-23
000630,铜陵有色,0.6,3824257474,2015-09-24
601636,旗滨集团,1.0,1010171800,2015-09-23
002489,浙江永强,3.5,621639001,2015-09-24
300444,双杰电气,3.0,137945600,2015-09-24
002176,江特电机,0.1,523157908,2015-09-25
002697,红旗连锁,0.5,800000000,2015-09-28
603309,维力医疗,3.0,100000000,2015-09-25
920039,国义招标,2.599,91600000,2015-09-24
002617,露笑科技,0.1,180000000,2015-09-28
002019,亿帆医药,1.0,440319243,2015-09-28
002132,恒星科技,0.5,706362832,2015-09-30
002568,百润股份,10.0,448000000,2015-09-29
600369,西南证券,1.2,2822554562,2015-09-29
300424,航新科技,3.0,133070000,2015-09-29
300467,迅游科技,6.0,40000000,2015-09-29
601000,唐山港,1.0,2248438460,2015-09-30
300086,康芝药业,1.0,300000000,2015-09-30
002394,联发股份,3.0,323700000,2015-09-29
300353,东土科技,0.5,171240960,2015-09-29
002352,顺丰控股,3.0,116746170,2015-09-30
600392,盛和资源,2.0,376415753,2015-09-30
603789,ST星农,4.0,200000000,2015-10-08
300461,田中精机,2.5,66680000,2015-10-08
300383,光环新网,0.6,272900000,2015-10-08
002380,科远智慧,1.0,102000000,2015-10-09
600226,亨通股份,2.5,405549248,2015-10-12
002403,爱仕达,2.0,240000000,2015-10-13
600999,招商证券,5.04,5808135529,2015-10-12
300345,华民股份,0.4,124800000,2015-10-12
601633,长城汽车,2.5,3042423000,2015-10-13
603989,艾华集团,10.0,200000000,2015-10-13
601238,广汽集团,0.8,6435020097,2015-10-14
601877,正泰电器,6.0,1314906385,2015-10-14
002616,长青集团,3.5,359333322,2015-10-19
002545,东方铁塔,15.0,260250000,2015-10-19
002498,汉缆股份,3.0,1073160000,2015-10-16
002471,中超控股,0.2,507200000,2015-10-20
000809,和展能源,1.0,549860862,2015-10-20
000338,潍柴动力,1.0,3998619278,2015-10-20
002166,莱茵生物,0.5,145760454,2015-10-20
300426,华智数媒,1.2,80000000,2015-10-21
300482,万孚生物,3.0,88000000,2015-10-22
601211,国泰海通,1.0,7625000000,2015-10-22
300098,高新兴,0.23,293584320,2015-10-23
300094,国联水产,0.3,353807100,2015-10-29
002156,通富微电,0.3,748177011,2015-10-29
002741,光华科技,2.0,120000000,2015-11-02
600686,金龙汽车,0.5,606738511,2015-10-30
000725,京东方A,0.1,35153067743,2015-11-04
600958,东方证券,1.0,5281742921,2015-11-04
603066,音飞储存,1.23,100000000,2015-11-05
002638,勤上股份,0.1,374670000,2015-11-06
603939,益丰药房,5.0,160000000,2015-11-06
600959,江苏有线,1.6,2988099845,2015-11-06
000029,深深房A,1.3,1011660000,2015-11-10
600664,哈药股份,10.0,1917483289,2015-11-13
000159,国际实业,0.3,481139294,2015-11-13
002239,奥特佳,0.1,1072973059,2015-11-13
000883,湖北能源,0.253,5348749678,2015-11-18
600730,*ST高科,1.12,293328001,2015-11-19
000543,皖能电力,0.23,1053174105,2015-11-20
600617,国新能源,1.0,1008163692,2015-11-20
920526,凯华材料,1.8,19656667,2015-12-03
601928,凤凰传媒,1.0,2544900000,2015-12-16
920405,海希通讯,1.5,50000000,2015-12-24
600016,民生银行,0.75,36485348752,2016-02-26
