code,name,div_per_10,total_shares,ex_date
002099,海翔药业,3.0,1618715253,2020-02-21
002315,焦点科技,7.5,235000000,2020-03-10
920720,吉冈精密,8.9866,26150000,2020-03-23
002458,益生股份,10.0,577274541,2020-03-19
300617,安靠智电,5.0,100005000,2020-03-30
920489,佳先股份,2.5,63965200,2020-04-03
300193,佳士科技,5.0,506901310,2020-03-31
300121,阳谷华泰,3.015761,388611706,2020-04-02
300403,汉宇集团,1.4,603000000,2020-04-02
300033,同花顺,8.5,537600000,2020-04-02
300174,元力股份,0.5,244800000,2020-04-02
002054,德美化工,0.48,419230828,2020-04-02
300231,银信科技,1.5,442100220,2020-04-03
920163,方大新材,1.6,110895000,2020-04-10
300496,中科创达,1.3,402515097,2020-04-08
920580,科创新材,1.0,50000000,2020-04-08
300443,金雷股份,1.8,238056802,2020-04-08
300801,泰和科技,5.0,120000000,2020-04-09
002961,瑞达期货,1.8,445000000,2020-04-09
920670,数字人,4.0,58364000,2020-04-13
002847,盐津铺子,5.0,128400000,2020-04-14
603822,ST嘉澳,2.55,73356509,2020-04-14
300146,汤臣倍健,3.6,1582492554,2020-04-14
002014,永新股份,4.0,503616724,2020-04-15
002879,长缆科技,2.1,193107640,2020-04-14
300752,隆利科技,1.45,119752220,2020-04-15
300727,润禾材料,1.6,126880000,2020-04-16
603677,奇精机械,2.8,193649809,2020-04-14
300632,光莆股份,2.5,182982997,2020-04-17
920146,华阳变速,2.0,100996443,2020-04-16
920992,中科美菱,1.8,72548200,2020-04-17
920185,贝特瑞,1.0,439569900,2020-04-17
300505,川金诺,1.6,100526122,2020-04-16
300563,神宇股份,2.0,80000000,2020-04-17
002597,金禾实业,5.4,558775013,2020-04-16
002845,同兴达,0.6,202787968,2020-04-17
300726,宏达电子,3.0,400100000,2020-04-17
603187,海容冷链,6.0,113200000,2020-04-16
300620,光库科技,2.0,90337000,2020-04-16
300636,同和药业,1.35,80951000,2020-04-17
002182,宝武镁业,1.5,646422538,2020-04-20
600211,西藏药业,10.6,177098459,2020-04-17
300286,安科瑞,2.0,215015625,2020-04-17
603186,华正新材,1.7,129350000,2020-04-17
002135,东南网架,0.27,1034402200,2020-04-21
002756,永兴材料,4.56,360000000,2020-04-22
300234,开尔新材,0.629717,289534588,2020-04-21
300224,正海磁材,2.0,820216556,2020-04-22
300795,米奥会展,10.0,100164000,2020-04-22
