code,name,div_per_10,total_shares,ex_date
002299,圣农发展,2.5,410000000,2011-02-24
002176,江特电机,0.35,108446568,2011-02-25
002349,精华制药,1.0,80000000,2011-03-01
300074,华平股份,10.0,40000000,2011-03-01
002481,双塔食品,3.0,60000000,2011-03-02
002230,科大讯飞,2.0,160749000,2011-03-03
002250,联化科技,2.0,245366000,2011-03-01
002249,大洋电机,2.8,428400000,2011-03-02
002171,楚江新材,2.0,163020000,2011-03-01
600420,国药现代,1.0,287733402,2011-03-02
300008,天海防务,3.0,85680000,2011-03-07
000850,华茂股份,0.34,629110006,2011-03-04
000785,居然智家,1.0,251221698,2011-03-11
601678,滨化股份,1.0,440000000,2011-03-10
002479,富春环保,5.0,214000000,2011-03-09
300134,大富科技,12.3,160000000,2011-03-15
002014,永新股份,4.0,140784000,2011-03-17
600527,江南高纤,0.5,351278340,2011-03-17
000788,北大医药,1.0,416274897,2011-03-18
002161,远望谷,0.35,256800000,2011-03-21
300118,东方日升,5.0,175000000,2011-03-23
600113,浙江东日,0.5,236000000,2011-03-24
600499,科达制造,1.0,598378300,2011-03-25
600160,巨化股份,2.5,612480000,2011-03-25
600406,国电南瑞,1.0,525179429,2011-03-25
300048,合康新能,2.5,123064000,2011-03-28
002437,誉衡药业,5.0,140000000,2011-03-29
002410,广联达,6.0,180000000,2011-03-29
300043,星辉娱乐,2.0,79200000,2011-03-30
002367,康力电梯,3.0,160200000,2011-03-30
000565,渝三峡A,1.0,173436888,2011-03-30
300024,机器人,1.0,135300000,2011-03-31
600256,广汇能源,0.6,1238467581,2011-03-30
300099,尤洛卡,3.0,41340000,2011-03-30
002425,凯撒文化,1.5,107000000,2011-04-01
002081,金螳螂,2.0,319194000,2011-03-31
002523,天桥起重,2.0,160000000,2011-03-31
600660,福耀玻璃,5.7,2002986332,2011-03-31
002058,威尔泰,0.6,62368840,2011-04-01
300091,*ST金灵,2.0,83600000,2011-04-08
000563,陕国投A,0.5,358413026,2011-04-06
002488,金固股份,3.0,120000000,2011-04-06
002331,皖通科技,2.0,71411600,2011-04-08
002468,申通快递,3.0,160000000,2011-04-07
600391,航发科技,1.0,131296023,
002135,东南网架,0.5,200000000,2011-04-08
002441,众业达,5.0,116000000,2011-04-11
300011,鼎汉技术,1.8,102752000,2011-04-08
000558,天府文旅,0.78,370746559,2011-04-08
002132,恒星科技,1.0,269934900,2011-04-07
600743,华远控股,1.0,972661408,2011-04-08
300082,奥克股份,4.0,162000000,2011-04-11
002282,博深股份,2.5,173400000,2011-04-11
002170,芭田股份,0.5,304560000,2011-04-11
002099,海翔药业,2.0,160500000,2011-04-11
600873,梅花生物,5.0,1008236603,2011-04-11
002026,山东威达,1.0,135000000,2011-04-11
600561,江西长运,1.8,185724000,2011-04-12
002278,神开股份,1.5,217936070,2011-04-15
000417,合百集团,1.0,479722800,2011-04-15
002389,航天彩虹,2.0,67000000,2011-04-13
600422,昆药集团,1.5,314176000,2011-04-13
002035,华帝股份,3.0,223303080,2011-04-13
000936,华西股份,0.6,748012887,2011-04-14
600433,冠豪高新,0.3,286000000,2011-04-13
000069,华侨城A,0.6,3107478020,2011-04-14
002335,科华数据,8.0,78000000,2011-04-14
600496,精工钢构,0.5,387000000,2011-04-13
300131,英唐智控,2.0,46000000,2011-04-15
000790,华神科技,0.3,269280440,2011-04-18
600500,中化国际,1.5,1437589571,2011-04-14
300086,康芝药业,3.0,100000000,2011-04-18
600710,苏美达,0.5,486200000,2011-04-18
001696,宗申动力,4.0,1021054653,2011-04-14
002431,ST棕榈,1.0,192000000,2011-04-18
300027,ST华谊,2.0,336000000,2011-04-15
300133,华策影视,6.0,56480000,2011-04-15
600503,华丽家族,5.0,527350000,2011-04-14
300122,智飞生物,2.0,400000000,2011-04-14
002130,沃尔核材,0.5,244575000,2011-04-15
002493,荣盛石化,8.0,556000000,2011-04-15
300129,泰胜风能,2.0,120000000,2011-04-18
300101,振芯科技,3.0,69500000,2011-04-18
002405,四维图新,1.5,400229579,2011-04-18
002198,ST嘉应,0.5,164000000,2011-04-18
000950,重药控股,1.0,598799235,2011-04-15
002333,罗普斯金,1.0,250880000,2011-04-18
002449,国星光电,2.5,215000000,2011-04-18
002160,常铝股份,0.4,170000000,2011-04-18
600261,阳光照明,1.5,249768480,2011-04-18
300132,青松股份,3.0,67000000,2011-04-19
600675,中华企业,1.0,1414438938,2011-04-18
600298,安琪酵母,1.5,306046577,2011-04-19
002324,普利特,1.0,135000000,2011-04-20
002506,协鑫集成,4.0,263600000,2011-04-18
600488,津药药业,0.3,542889973,2011-04-19
002543,万和电气,2.5,200000000,2011-04-20
300078,思创智联,15.0,67000000,2011-04-21
600458,时代新材,1.0,235155200,2011-04-19
600183,生益科技,3.0,957023438,2011-04-19
002415,海康威视,6.0,500000000,2011-04-20
002275,桂林三金,2.2,454000000,2011-04-21
002559,亚威股份,2.0,88000000,2011-04-20
002263,大东南,1.0,465714034,2011-04-20
002353,杰瑞股份,8.0,114818000,2011-04-21
300046,台基股份,6.0,71040000,2011-04-21
300002,神州泰岳,3.0,316000000,2011-04-20
300170,汉得信息,3.0,115724482,2011-04-22
002393,力生制药,9.0,182454992,2011-04-21
002012,凯恩股份,1.0,194789298,2011-04-20
002037,保利联合,2.0,173030000,2011-04-21
300050,世纪鼎利,4.0,108000000,2011-04-22
002153,石基信息,1.0,224000000,2011-04-22
600114,东睦股份,1.0,195500000,2011-04-21
002169,智光电气,0.4,177648250,2011-04-21
300120,经纬辉开,2.0,87000000,2011-04-21
300119,瑞普生物,10.0,74148000,2011-04-25
002069,獐子岛,5.0,474074796,2011-04-22
600015,华夏银行,2.0,4990528316,2011-04-21
300025,华星创业,1.0,80000000,2011-04-22
601369,陕鼓动力,5.0,1092513489,2011-04-22
002533,金杯电工,2.0,140000000,2011-04-25
600370,*ST三房,1.0,318897692,2011-04-22
002305,*ST南置,1.2,480000000,2011-04-22
601000,唐山港,1.2,1000000000,2011-04-22
600850,电科数字,0.5,171031500,2011-04-22
600409,三友化工,1.2,1059580325,2011-04-22
600971,恒源煤电,8.0,438473273,2011-04-22
600161,天坛生物,1.0,515466868,2011-04-22
600031,三一重工,0.6,5062470758,2011-04-22
600376,首开股份,2.0,1149750000,2011-04-22
600276,恒瑞医药,1.0,749433164,2011-04-26
000823,超声电子,1.0,440436000,2011-04-26
002360,ST同德,3.0,60000000,2011-04-26
300163,先锋新材,3.0,79000000,2011-04-25
002510,天汽模,1.2,205760000,2011-04-25
002196,方正电机,1.5,77150000,2011-04-26
000629,钒钛股份,1.2,5726497468,2011-04-25
600572,康恩贝,1.0,351800000,2011-04-25
601137,博威合金,2.0,215000000,2011-04-26
600246,万通发展,1.7,1216800000,2011-04-26
600268,国电南自,1.5,317623217,2011-04-26
600522,中天科技,1.0,320803000,2011-04-26
002290,禾盛新材,1.5,150480000,2011-04-27
600410,华胜天成,1.2,504862243,2011-04-27
002497,雅化集团,3.0,160000000,2011-04-27
002342,巨力索具,1.5,480000000,2011-04-26
002444,巨星科技,10.0,253500000,2011-04-26
000026,飞亚达,1.0,280548479,2011-04-27
002151,北斗星通,3.0,100550015,2011-04-28
300126,锐奇股份,1.2,84200000,2011-04-29
300115,长盈精密,6.0,86000000,2011-04-27
002524,光正眼科,0.5,90380000,2011-04-27
300136,信维通信,3.0,66670000,2011-04-29
300021,大禹节水,1.0,139300000,2011-04-28
002101,广东鸿图,2.0,82000000,2011-04-28
000852,石化机械,2.0,400400000,2011-04-28
600398,海澜之家,1.0,646604078,2011-04-27
000650,仁和药业,0.556,420165361,2011-04-28
000837,秦川机床,0.8,348717600,2011-04-28
002409,雅克科技,2.0,110880000,2011-04-27
300169,天晟新材,5.0,93500000,2011-04-27
002038,双鹭药业,2.5,252980000,2011-04-27
002442,龙星科技,2.0,200000000,2011-04-29
002422,科伦药业,5.0,240000000,2011-04-29
002489,浙江永强,10.0,240000000,2011-04-28
300005,探路者,1.0,134000000,2011-04-28
300041,回天新材,6.0,65998016,2011-04-29
600979,广安爱众,0.2,296446073,2011-04-27
002474,榕基软件,6.0,103700000,2011-04-29
300003,乐普医疗,2.5,812000000,2011-04-27
300057,万顺新材,1.8,211000000,2011-04-28
002548,金新农,3.0,94000000,2011-04-28
002399,海普瑞,20.0,400100000,2011-04-29
300071,福石控股,1.0,51755272,2011-04-29
600310,广西能源,5.0,183950000,2011-04-28
300033,同花顺,2.1,134400000,2011-04-29
300159,新研股份,3.0,41000000,2011-04-29
002264,新华都,1.0,160320000,2011-04-28
002519,银河电子,5.0,70400000,2011-04-29
300012,华测检测,3.0,122655000,2011-04-28
300124,汇川技术,12.0,108000000,2011-05-03
300066,三川智慧,4.0,52000000,2011-04-29
002407,多氟多,2.0,107000000,2011-04-29
002091,江苏国泰,1.2,300000000,2011-04-29
002244,滨江集团,0.7,1352000000,2011-04-29
002115,三维通信,1.5,214560000,2011-04-28
000728,国元证券,3.0,1964100000,2011-04-29
002221,东华能源,0.2,222000000,2011-04-28
300153,科泰电源,3.0,80000000,2011-04-29
002419,天虹股份,6.0,400100000,2011-04-29
002501,*ST利源,3.0,93600000,2011-05-03
300039,上海凯宝,4.0,175360000,2011-04-29
300171,东富龙,8.0,80000000,2011-04-29
000969,安泰科技,1.2,854873748,2011-04-29
002148,北纬科技,1.7,75600000,2011-05-04
002456,欧菲光,1.6,96000000,2011-04-29
002469,三维化学,3.0,66244056,2011-04-29
002222,福晶科技,2.0,190000000,2011-05-04
600315,上海家化,2.5,423032064,2011-04-29
002294,信立泰,6.0,227000000,2011-05-03
300127,银河磁体,2.8,161573180,2011-05-04
002055,ST得润,0.5,203158635,2011-05-04
002285,世联行,2.0,217600000,2011-05-04
300052,中青宝,2.0,130000000,2011-05-03
002365,永安药业,3.0,93500000,2011-05-03
002520,日发精机,10.0,64000000,2011-05-03
300063,天龙集团,3.0,67000000,2011-04-29
002445,中南文化,2.0,123000000,2011-05-04
002122,ST汇洲,1.0,1188000000,2011-05-05
300049,福瑞医科,3.0,96200000,2011-05-04
600563,法拉电子,4.5,225000000,2011-05-04
002338,奥普光电,5.0,80000000,2011-05-05
300155,安居宝,8.0,72000000,2011-05-06
002534,西子洁能,3.0,400520000,2011-05-05
300105,龙源技术,1.2,88000000,2011-05-05
002242,九阳股份,5.0,760950000,2011-05-04
600567,山鹰国际,0.6,755246185,2011-05-04
002390,信邦制药,3.0,86800000,2011-05-05
002253,川大智胜,3.0,74880000,2011-05-06
300102,乾照光电,5.0,118000000,2011-05-06
000407,胜利股份,0.6,499409265,2011-05-06
002538,ST司特,2.0,148000000,2011-05-06
002251,步步高,3.0,270360000,2011-05-06
600651,飞乐音响,0.4,615887759,2011-05-05
002471,中超控股,3.0,160000000,2011-05-06
601166,兴业银行,4.6,5992450630,2011-05-06
002028,思源电气,8.0,439680000,2011-05-06
002315,焦点科技,8.0,117500000,2011-05-06
300001,特锐德,3.0,133600000,2011-05-06
002049,紫光国微,1.1,135000000,2011-05-06
002229,鸿博股份,1.5,136000000,2011-05-05
002392,北京利尔,2.5,135000000,2011-05-06
002408,齐翔腾达,5.0,259560000,2011-05-06
000060,中金岭南,0.2,1586877600,2011-05-06
300009,安科生物,2.5,151200000,2011-05-06
300047,天源迪科,3.0,104600000,2011-05-06
002529,海源复材,3.125,160000000,2011-05-05
300068,ST南都,1.0,248000000,2011-05-09
300182,捷成股份,5.0,56000000,2011-05-09
002322,理工能科,3.0,66700000,2011-05-06
002056,横店东磁,0.7,425900000,2011-05-06
300168,万达信息,1.0,120000000,2011-05-06
600736,苏州高新,0.12,881568000,2011-05-06
002400,省广集团,1.6,82371755,2011-05-10
300020,ST银江,1.0,160000000,2011-05-09
600796,钱江生化,0.2,274001949,2011-05-06
300149,睿智医药,1.35,67000000,2011-05-09
002521,齐峰新材,1.0,147250000,2011-05-09
002540,亚太科技,2.0,160000000,2011-05-09
600368,五洲交通,1.1,555867688,2011-05-06
000637,茂化实华,1.7,519875356,2011-05-09
002199,东晶电子,1.3,126258873,2011-05-06
300154,瑞凌股份,5.0,111750000,2011-05-10
300130,新国都,2.0,63500000,2011-05-09
002391,长青股份,3.0,158272000,2011-05-10
000062,深圳华强,0.5,666949797,2011-05-09
002374,中锐股份,1.0,53500000,2011-05-10
600168,武汉控股,0.29,441150000,2011-05-09
002140,东华科技,1.5,278771584,2011-05-10
300103,达刚控股,2.0,65350000,2011-05-10
600132,重庆啤酒,3.0,483971198,2011-05-09
002218,拓日新能,0.5,326500000,2011-05-11
002332,仙琚制药,3.5,341400000,2011-05-11
002152,广电运通,2.0,342141624,2011-05-11
002532,天山铝业,1.0,80000000,2011-05-11
600525,ST长园,1.0,431755056,2011-05-10
002293,罗莱生活,14.2,140363100,2011-05-10
600888,新疆众和,1.0,352058684,2011-05-10
600521,华海药业,1.0,448839404,2011-05-10
600662,外服控股,0.8,813539017,2011-05-10
002351,漫步者,4.0,147000000,2011-05-10
000988,华工科技,1.0,407607816,2011-05-10
300113,顺网科技,2.5,60000000,2011-05-12
002522,浙江众成,2.0,106670000,2011-05-11
000536,华映科技,3.0,700493506,2011-05-11
002092,中泰化学,0.5,1154340000,2011-05-11
000596,古井贡酒,3.5,235000000,2011-05-12
300051,琏升科技,4.0,80250000,2011-05-11
002155,湖南黄金,1.5,547400000,2011-05-12
000868,安凯客车,0.25,307010000,2011-05-12
002526,山东矿机,3.0,267000000,2011-05-11
600100,同方股份,1.0,993850554,2011-05-11
002126,银轮股份,0.8,100000000,2011-05-12
300030,阳普医疗,1.0,74000000,2011-05-13
002163,海南发展,1.0,401775000,2011-05-12
002109,ST兴化,0.9,358400000,2011-05-12
002216,三全食品,2.0,187000000,2011-05-12
002111,威海广泰,1.5,147425805,2011-05-13
002313,日海智能,3.0,100000000,2011-05-12
600350,山东高速,1.04,3363800000,2011-05-11
000858,五粮液,3.0,3795966720,2011-05-13
002024,ST易购,1.0,6996211866,2011-05-11
300166,东方国信,5.0,40500000,2011-05-11
002180,奔图科技,1.0,83322000,2011-05-12
300072,海新能科,1.5,97270000,2011-05-12
000690,宝新能源,0.3,1726612500,2011-05-11
300037,新宙邦,3.0,107000000,2011-05-12
000686,东北证券,2.0,639312448,2011-05-11
002292,奥飞娱乐,3.0,256000000,2011-05-11
002530,金财互联,2.0,134000000,2011-05-13
002372,伟星新材,3.0,253400000,2011-05-13
600271,航天信息,4.0,923400000,2011-05-12
600606,绿地控股,0.5,429250591,2011-05-12
600111,北方稀土,1.0,807348000,2011-05-12
600588,用友网络,2.2,816030819,2011-05-12
002480,新筑股份,3.0,140000000,2011-05-13
002296,辉煌科技,3.5,104550000,2011-05-13
002022,科华生物,3.0,492277500,2011-05-12
002304,洋河股份,10.0,450000000,2011-05-13
002546,新联电子,5.0,84000000,2011-05-13
002436,兴森科技,4.0,111700000,2011-05-13
000711,ST京蓝,0.2,107265600,2011-05-12
002515,金字火腿,2.0,73500000,2011-05-12
300140,节能环境,5.0,61000000,2011-05-13
002194,武汉凡谷,2.5,555880000,2011-05-12
000731,四川美丰,1.0,502321991,2011-05-13
300173,ST福能,2.0,67000000,2011-05-12
000887,中鼎股份,0.5,425555136,2011-05-13
300144,宋城演艺,3.0,168000000,2011-05-13
600267,海正药业,1.5,524818161,2011-05-12
002283,天润工业,1.0,240000000,2011-05-13
600309,万华化学,4.0,1663334400,2011-05-12
002508,老板电器,3.0,160000000,2011-05-13
002295,精艺股份,1.5,141200000,2011-05-16
300128,锦富技术,4.0,100000000,2011-05-16
002375,亚厦股份,2.5,211000000,2011-05-13
302132,中航成飞,1.2,80000000,2011-05-13
300152,*ST动力,3.0,108000000,2011-05-13
002535,林州重机,1.25,204800000,2011-05-16
002121,科陆电子,0.5,264460000,2011-05-13
300123,ST亚光,1.0,86940951,2011-05-13
002492,恒基达鑫,2.0,120000000,2011-05-13
601777,千里科技,3.5,951445087,2011-05-16
002317,众生药业,5.0,120000000,2011-05-13
600307,酒钢宏兴,1.0,2045678712,2011-05-16
002328,新朋股份,2.0,300000000,2011-05-13
600182,S佳通,1.0,340000000,2011-05-13
300010,ST豆神,2.0,157725000,2011-05-13
600459,贵研铂业,0.72,111735000,2011-05-13
300145,南方泵业,2.0,80000000,2011-05-16
600236,桂冠电力,0.5,2280449514,2011-05-16
600439,瑞贝卡,1.0,786101000,2011-05-13
600551,时代出版,1.0,421521080,2011-05-13
002095,生意宝,1.0,135000000,2011-05-16
600970,中材国际,0.25,759234208,2011-05-16
300058,蓝色光标,2.0,120000000,2011-05-17
600666,奥瑞德,1.0,193430865,2011-05-16
300015,爱尔眼科,1.5,267000000,2011-05-17
600230,沧州大化,1.3,259331620,2011-05-17
600581,*ST八钢,2.2,766448935,2011-05-16
600300,维维股份,0.6,1672000000,2011-05-16
600143,金发科技,1.0,1396500000,2011-05-16
600287,苏豪时尚,0.3,436796074,2011-05-16
002262,恩华药业,0.5,234000000,2011-05-18
600231,凌钢股份,0.4,804002200,2011-05-16
002457,青龙管业,3.0,139580000,2011-05-17
002080,中材科技,3.0,200000000,2011-05-17
600828,茂业商业,0.3,365666447,2011-05-16
300004,南风股份,1.0,94000000,2011-05-16
600166,福田汽车,2.8,1054835800,2011-05-16
600066,宇通客车,3.0,519891723,2011-05-16
300062,中能电气,2.5,77000000,2011-05-16
300107,建新股份,4.5,66900000,2011-05-16
600560,金自天正,1.0,99398000,2011-05-16
300077,国民技术,5.0,108800000,2011-05-17
002491,通鼎互联,1.0,267800000,2011-05-17
000826,*ST启环,1.0,413356140,2011-05-17
002164,宁波东力,2.0,222812500,2011-05-17
601700,风范股份,3.5,219600000,2011-05-16
000564,供销大集,0.5,304311834,2011-05-17
600798,宁波海运,0.4,871145700,2011-05-17
300070,碧水源,3.0,147000000,2011-05-18
601168,西部矿业,1.8,2383000000,2011-05-17
000507,珠海港,0.35,344997420,2011-05-17
300098,高新兴,3.0,68400000,2011-05-18
002044,美年健康,0.5,162500000,2011-05-18
000812,陕西金叶,0.12,372813043,2011-05-17
002248,华东数控,0.5,257495600,2011-05-17
300087,ST荃银,3.0,52800000,2011-05-18
002564,天沃科技,1.0,189910000,2011-05-18
300174,元力股份,2.0,68000000,2011-05-17
600570,恒生电子,0.5,623750400,2011-05-17
002088,鲁阳节能,1.0,233978689,2011-05-18
002369,卓翼科技,5.0,100000000,2011-05-17
002517,恺英网络,3.0,88400000,2011-05-18
002212,天融信,1.2,255130000,2011-05-18
002206,海利得,3.3,298387000,2011-05-18
002281,光迅科技,2.5,160000000,2011-05-17
600123,兰花科创,5.0,571200000,2011-05-17
600048,保利发展,2.13,4575637430,2011-05-17
300040,九洲集团,1.0,138900000,2011-05-17
600463,空港股份,0.8,252000000,2011-05-17
000860,顺鑫农业,2.5,438540000,2011-05-18
002219,新里程,0.28,298880000,2011-05-19
000903,ST云动,2.0,378200000,2011-05-19
300167,ST迪威迅,2.0,44480000,2011-05-18
002426,胜利精密,0.75,400410000,2011-05-19
002277,友阿股份,1.5,349200000,2011-05-18
002179,中航光电,0.7,401625000,2011-05-19
300100,双林股份,5.0,93500000,2011-05-19
300026,红日药业,2.5,100684000,2011-05-19
002210,飞马国际,0.3,306000000,2011-05-19
600486,扬农化工,2.0,172166059,2011-05-18
000937,冀中能源,5.0,1156442102,2011-05-19
002303,美盈森,3.0,178800000,2011-05-19
000789,万年青,0.8,395909579,2011-05-17
