code,name,div_per_10,total_shares,ex_date,amount
600155,华创云信,1.0,275000000.0,2001-05-17,27500000.0
000539,粤电力A,1.5,2659404000.0,2001-05-17,398910600.0
600183,生益科技,1.5,490781250.0,2001-05-16,73617187.5
000158,常山北明,1.0,400000000.0,2001-05-16,40000000.0
600653,申华控股,0.2,657324720.0,2001-05-17,13146494.4
600171,上海贝岭,1.6,434434000.0,2001-05-16,69509440.0
000509,华塑控股,1.0,215185212.0,2001-05-16,21518521.200000003
000727,冠捷科技,1.0,313738620.0,2001-05-16,31373862.0
600237,铜峰电子,1.0,100000000.0,2001-05-18,10000000.0
000895,双汇发展,5.0,292370000.0,2001-05-17,146185000.0
000151,中成股份,1.6,197320000.0,2001-05-17,31571200.0
000719,中原传媒,0.1,80859805.0,2001-05-18,808598.05
600298,安琪酵母,1.0,135700000.0,2001-05-18,13570000.0
600055,万东医疗,2.0,111000000.0,2001-05-18,22200000.0
000972,中基健康,0.7,124589173.0,2001-05-21,8721242.11
600285,羚锐制药,1.0,100360000.0,2001-05-18,10036000.0
000975,山金国际,1.0,185000000.0,2001-05-17,18500000.0
000672,上峰材料,0.267,72800000.0,2001-05-17,1943760.0
600820,隧道股份,0.55,376069405.0,2001-05-18,20683817.275000002
000900,现代投资,1.5,399165900.0,2001-05-18,59874885.0
000599,青岛双星,2.4,147189642.0,2001-05-21,35325514.08
000679,大连友谊,1.25,237600000.0,2001-05-21,29700000.0
000812,陕西金叶,1.0,158400000.0,2001-05-21,15840000.0
600261,阳光照明,1.0,123160000.0,2001-05-18,12316000.0
000055,方大集团,1.2,296400000.0,2001-05-18,35568000.0
000923,河钢资源,1.5,165000000.0,2001-05-21,24750000.0
000755,山西高速,1.5,277713851.0,2001-05-18,41657077.65
000903,ST云动,3.5,180000000.0,2001-05-18,62999999.99999999
000985,大庆华科,2.5,115000000.0,2001-05-18,28750000.0
600666,奥瑞德,0.5,148792973.0,2001-05-18,7439648.65
600750,华润江中,1.0,146112000.0,2001-05-21,14611200.0
600757,长江传媒,1.2,314762818.0,2001-05-18,37771538.16
600824,益民集团,1.32,193649092.0,2001-05-21,25561680.144
600307,酒钢宏兴,1.6,728000000.0,2001-05-19,116480000.0
600282,南钢股份,1.0,420000000.0,2001-05-21,42000000.0
000807,云铝股份,2.5,310000000.0,2001-05-22,77500000.0
600819,耀皮玻璃,2.2,487500000.0,2001-05-22,107250000.00000001
600739,辽宁成大,2.0,247572000.0,2001-05-22,49514400.0
600076,康欣新材,0.6,224416000.0,2001-05-22,13464960.0
600388,龙净环保,0.6,167000000.0,2001-05-22,10020000.0
600212,绿能慧充,1.0,219024000.0,2001-05-22,21902400.0
000429,粤高速A,1.0,838078499.0,2001-05-22,83807849.9
600881,亚泰集团,0.75,475106267.0,2001-05-22,35632970.025
600075,新疆天业,1.0,226800000.0,2001-05-22,22680000.0
000925,众合科技,1.8,90000000.0,2001-05-22,16200000.0
000520,凤凰航运,1.0,519168762.0,2001-05-23,51916876.2
000525,红太阳,0.5,164846378.0,2001-05-23,8242318.9
000977,浪潮信息,1.0,215000000.0,2001-05-23,21500000.0
600228,返利科技,0.5,180000000.0,2001-05-22,9000000.0
600774,汉商集团,1.0,94467200.0,2001-05-23,9446720.0
600641,先导基电,2.0,367865971.0,2001-05-23,73573194.2
000762,西藏矿业,0.2,200510000.0,2001-05-22,4010200.0
000070,特发信息,2.8,250000000.0,2001-05-24,70000000.0
000710,贝瑞基因,1.5,108000000.0,2001-05-25,16200000.0
000899,赣能股份,1.0,548032000.0,2001-05-25,54803200.0
000021,深科技,0.5,732932101.0,2001-05-25,36646605.050000004
000811,冰轮环境,1.5,123673100.0,2001-05-24,18550965.0
600267,海正药业,1.0,156000000.0,2001-05-24,15600000.0
000415,渤海租赁,0.3,233179996.0,2001-05-24,6995399.88
000887,中鼎股份,0.5,301000000.0,2001-05-24,15050000.0
600222,太龙药业,2.5,136145240.0,2001-05-24,34036310.0
000636,风华高科,1.5,530330952.0,2001-05-24,79549642.8
000726,鲁泰A,0.37,208300000.0,2001-05-24,7707100.0
000637,茂化实华,1.0,160991998.0,2001-05-25,16099199.8
600316,洪都航空,1.0,140000000.0,2001-05-25,14000000.0
600731,湖南海利,0.5,233921176.0,2001-05-25,11696058.8
000768,中航西飞,2.0,391500000.0,2001-05-28,78300000.0
600189,泉阳泉,2.0,310500000.0,2001-05-25,62100000.0
000801,四川九洲,1.0,101566080.0,2001-05-28,10156608.0
600518,康美药业,2.0,70800000.0,2001-05-25,14160000.0
000766,通化金马,7.0,299344184.0,2001-05-25,209540928.79999998
600232,金鹰股份,1.0,168347600.0,2001-05-25,16834760.0
600714,金瑞矿业,0.5,93750000.0,2001-05-28,4687500.0
000516,国际医学,1.8,130378296.0,2001-05-29,23468093.279999997
600764,中国海防,2.0,183181658.0,2001-05-29,36636331.6
000959,首钢股份,2.5,2310000000.0,2001-05-28,577500000.0
000707,双环科技,1.3024,305178360.0,2001-05-29,39746429.6064
600784,鲁银投资,0.8,225733521.0,2001-05-29,18058681.68
000825,太钢不锈,0.88,1076170000.0,2001-05-29,94702960.0
600052,东望时代,1.0,423360000.0,2001-05-29,42336000.0
000912,泸天化,0.6,450000000.0,2001-05-29,27000000.0
000987,越秀资本,1.0,239305405.0,2001-05-30,23930540.5
000099,中信海直,2.0,196000000.0,2001-05-29,39200000.0
600676,交运股份,2.0,168961856.0,2001-05-29,33792371.2
600825,新华传媒,0.5,102850000.0,2001-05-29,5142500.0
600718,东软集团,5.0,281451690.0,2001-05-29,140725845.0
600241,时代万恒,1.0,106000000.0,2001-05-30,10600000.0
600089,特变电工,1.0,238898176.0,2001-05-30,23889817.6
000935,四川双马,1.2,177450000.0,2001-05-30,21294000.0
600257,大湖股份,1.0,73000000.0,2001-05-30,7300000.0
600156,华升股份,1.5,438900000.0,2001-05-30,65835000.0
600303,曙光股份,2.0,90000000.0,2001-05-30,18000000.0
000980,众泰汽车,1.25,150000000.0,2001-05-30,18750000.0
600053,*ST九鼎,1.0,161070000.0,2001-05-30,16107000.0
600207,安彩高科,5.0,440000000.0,2001-05-30,220000000.0
600682,南京新百,1.5,230208211.0,2001-05-30,34531231.65
000089,深圳机场,4.0,499890000.0,2001-05-30,199956000.0
600744,华银电力,1.0,645120000.0,2001-05-31,64512000.0
000958,电投产融,0.5,180000000.0,2001-05-29,9000000.0
000839,国安股份,4.5,590000000.0,2001-05-30,265500000.0
600016,民生银行,2.0,1730248376.0,2001-05-31,346049675.20000005
600268,国电南自,2.0,118000000.0,2001-05-31,23600000.0
600195,中牧股份,2.0,390000000.0,2001-06-01,78000000.0
600787,中储股份,0.3,310337705.0,2001-05-31,9310131.15
600262,北方股份,1.2,170000000.0,2001-05-31,20400000.0
600196,复星医药,1.8,293760000.0,2001-05-31,52876800.0
600773,西藏城投,1.0,97581200.0,2001-06-04,9758120.0
000950,重药控股,1.5,155000000.0,2001-06-01,23250000.0
600158,中体产业,2.0,195114000.0,2001-06-01,39022800.0
000948,南天信息,2.6,140000552.0,2001-05-31,36400143.52
600108,亚盛集团,0.25,400140000.0,2001-06-01,10003500.0
000402,金融街,1.0,125906400.0,2001-05-31,12590640.0
600180,*ST瑞茂,1.0,209158400.0,2001-06-01,20915840.0
000698,ST沈化,0.75,422406560.0,2001-05-31,31680492.0
000670,盈方微,0.86,272209120.0,2001-05-31,23409984.319999997
600113,浙江东日,2.0,118000000.0,2001-06-01,23600000.0
600121,郑州煤电,0.25,810000000.0,2001-06-01,20250000.0
000426,兴业银锡,0.25,201672240.0,2001-05-31,5041806.0
600008,首创环保,3.34,1100000000.0,2001-06-01,367399999.99999994
600500,中化国际,2.5,372650000.0,2001-06-01,93162500.0
600318,新力金融,0.5,200000000.0,2001-06-06,10000000.0
600868,梅雁吉祥,0.5,843614436.0,2001-06-01,42180721.800000004
000926,福星股份,1.25,266695000.0,2001-06-01,33336875.0
600611,大众交通,2.5,565851600.0,2001-06-04,141462900.0
600330,天通股份,1.0,152980000.0,2001-06-04,15298000.0
600797,浙大网新,0.6658,269768750.0,2001-06-05,17961203.375
000610,*ST西旅,0.8,167597900.0,2001-06-05,13407832.0
000651,格力电器,4.0,357960000.0,2001-06-05,143184000.0
600230,沧州大化,0.5,259331620.0,2001-06-05,12966581.0
600390,五矿资本,1.0,106700000.0,2001-06-05,10670000.0
