code,name,div_per_10,total_shares,ex_date
000408,藏格矿业,18.98,1580435073,2022-08-19
920061,西磁科技,0.97,51550000,2022-08-24
300389,艾比森,15.0,359994173,2022-08-29
920656,海昇药业,10.0,60000000,2022-08-31
603565,中谷物流,12.0,1418961556,2022-08-30
301023,奕帆传动,3.0,56000250,2022-09-05
600941,中国移动,18.942,21362826764,2022-09-06
920833,美心翼申,4.0,66325599,2022-09-07
920075,柏星龙,3.857132,51852000,
601728,中国电信,1.2,91507138699,2022-09-08
920870,恒进感应,6.0,67000000,2022-09-09
920703,广厦环能,8.4,58800000,2022-09-13
301061,匠心家居,5.0,128000000,2022-09-09
600681,百川能源,1.5,1363010801,2022-09-08
300997,欢乐家,0.9,450000000,2022-09-09
600673,东阳光,2.7,3013897259,2022-09-13
600388,龙净环保,2.5,1069096351,2022-09-13
000895,双汇发展,6.0,3464661213,2022-09-15
605028,世茂能源,2.0,160000000,2022-09-15
920533,骏创科技,2.0,55200000,2022-09-16
301298,东利机械,3.0,146800000,2022-09-15
600028,中国石化,1.6,121071209646,2022-09-19
601857,中国石油,2.0258,183020977818,2022-09-20
603017,中衡设计,2.5,278286778,2022-09-16
001323,慕思股份,10.0,400010000,2022-09-19
301318,维海德,5.0,69412000,2022-09-22
002932,*ST明德,15.0,156193021,2022-09-21
920175,东方碳素,2.6,87000000,2022-09-26
002042,华孚时尚,1.8,1700681355,2022-09-21
001228,永泰运,3.0,103864609,2022-09-21
300573,兴齐眼药,5.0,88094682,2022-09-23
600738,丽尚国潮,0.7,773464476,2022-09-22
920445,龙竹科技,1.2,148030025,2022-09-23
002978,安宁股份,6.0,401000000,2022-09-22
920062,科润智控,1.0,179086277,2022-09-22
920267,鑫汇科,8.0,49982941,2022-09-22
301153,中科江南,10.0,108000000,2022-09-23
002154,报喜鸟,2.0,1459333729,2022-09-23
920519,万德股份,1.0,69258104,2022-09-26
002270,华明装备,2.6,896225431,2022-09-22
002050,三花智控,1.0,3590853826,2022-09-22
920491,奥迪威,1.0,141159348,2022-09-23
601238,广汽集团,0.6,10463957657,2022-09-22
603011,合锻智能,0.3,494414437,2022-09-23
300984,金沃股份,5.0,76800000,2022-09-23
002706,良信股份,2.0,1123125020,2022-09-23
301321,翰博高新,2.3,124290000,2022-09-26
002555,三七互娱,3.5,2217864281,2022-09-26
300384,三联虹普,1.6,319007265,2022-09-26
301125,腾亚精工,11.0,72400000,2022-09-27
920819,颖泰生物,1.0,1225800000,2022-09-29
301308,江波龙,4.8,412864254,2022-09-27
000425,徐工机械,2.3,11816166093,2022-09-28
920263,中航泰达,2.15,139960000,2022-09-28
000959,首钢股份,0.8,7819869170,2022-09-27
300750,宁德时代,6.528,2440471007,2022-09-28
920299,灿能电力,1.109764,90109276,2022-09-29
600546,山煤国际,4.5,1982456140,2022-09-27
001268,联合精密,2.5,107933334,2022-09-27
688766,普冉股份,2.04,50720207,2022-09-28
600390,五矿资本,1.35,4498065459,2022-09-27
300894,火星人,3.0,405000000,2022-09-27
920976,视声智能,6.0,37981000,2022-09-29
