code,name,div_per_10,total_shares,ex_date
002097,山河智能,0.3,132575000,2007-08-22
001696,宗申动力,1.2,213507840,2007-08-27
601318,中国平安,2.0,7345053334,2007-09-03
600888,新疆众和,0.67,165588158,2007-09-10
002138,顺络电子,3.0,94000000,2007-09-11
600467,好当家,0.35,396000000,2007-09-11
002028,思源电气,3.0,114500000,2007-09-18
600028,中国石化,0.5,86702439000,2007-09-19
600301,华锡有色,2.0,235148140,2007-09-20
600678,ST金顶,0.333,232660000,2007-09-21
600392,盛和资源,0.3,108000000,2007-10-12
000608,阳光股份,0.5,412040280,2007-10-15
601600,中国铝业,1.37,12886607892,2007-10-24
002007,华兰生物,2.0,180900000,2007-10-24
600285,羚锐制药,1.0,100360000,2007-11-06
000514,渝开发,0.5,487644320,2007-11-13
