code,name,div_per_10,total_shares,ex_date
920395,朗鸿科技,1.1,127554000,2024-07-31
002307,北新路桥,0.1,1268291582,2024-08-08
601899,紫金矿业,1.0,26577888940,2024-08-09
000875,电投绿能,1.17,2790208174,2024-08-12
301299,卓创资讯,4.5,60000000,2024-08-20
002241,歌尔股份,0.5,3417134589,2024-08-23
300421,力星股份,1.2,294030484,2024-08-23
300151,昌红科技,0.6,532508631,2024-08-23
605098,行动教育,10.0,118078600,2024-08-22
001339,智微智能,0.8,250831366,2024-08-27
002749,国光股份,3.0,468278400,2024-08-28
300761,立华股份,3.0,827644501,2024-08-29
300284,苏交科,0.25,1262827774,2024-08-29
603558,健盛集团,2.0,369080949,2024-08-29
688505,复旦张江,0.2,1036572100,2024-08-30
002757,南兴股份,3.0,295455913,2024-08-28
002093,国脉科技,0.2,1007500000,2024-08-29
600211,西藏药业,9.67,322319196,2024-08-29
002457,青龙管业,0.9,334992000,2024-08-29
603057,紫燕食品,3.0,414260500,2024-08-30
600941,中国移动,23.789,21449841521,2024-09-02
300856,科思股份,6.0,339566494,2024-09-02
300795,米奥会展,3.0,229441935,2024-09-03
001206,依依股份,2.7,184893808,2024-09-03
601121,宝地矿业,0.5,800000000,2024-09-04
002517,恺英网络,1.0,2152517634,2024-09-03
002811,郑中设计,2.0,272053630,2024-09-05
002582,好想你,4.0,453243369,2024-09-04
300400,劲拓股份,3.8,242625800,2024-09-04
300664,鹏鹞环保,0.6,759812332,
300562,乐心医疗,1.3,216901188,2024-09-04
603601,再升科技,0.3,1021650141,2024-09-03
300272,开能健康,0.5,577217911,2024-09-04
002555,三七互娱,2.1,2217864281,2024-09-04
301328,维峰电子,2.0,109893594,2024-09-06
301181,标榜股份,1.5,117000000,2024-09-04
002508,老板电器,5.0,944127316,2024-09-05
000408,藏格矿业,2.6,1580435073,2024-09-05
002847,盐津铺子,6.0,274389759,2024-09-06
603697,有友食品,1.6,427692098,2024-09-06
688550,瑞联新材,1.2,174731320,2024-09-05
688578,艾力斯,2.5,450000000,2024-09-05
002969,嘉美包装,0.15,959039981,2024-09-06
603992,松霖科技,2.7,407988485,2024-09-05
300773,拉卡拉,4.0,800020000,2024-09-06
600309,万华化学,5.2,3139746626,2024-09-05
002469,三维化学,1.0,648862630,2024-09-06
600398,海澜之家,2.3,4802770296,2024-09-05
000750,国海证券,0.06,6386174477,2024-09-06
300760,迈瑞医疗,40.6,1212441394,2024-09-09
003008,开普检测,3.5,104000000,2024-09-09
601010,ST文峰,0.39,1848000000,2024-09-06
603520,司太立,0.5,438409881,2024-09-09
603600,永艺股份,1.6,331213170,2024-09-10
688076,ST诺泰,1.0,219779860,2024-09-10
600633,浙数文化,0.9,1265730523,2024-09-10
688307,中润光学,1.0,88000000,2024-09-10
300453,三鑫医疗,1.0,519596545,2024-09-09
600273,嘉化能源,2.0,1391045207,2024-09-11
605090,九丰能源,4.0,638768633,2024-09-09
600009,上海机场,1.0034,2488481340,2024-09-09
000895,双汇发展,6.6,3464661213,2024-09-11
688208,道通科技,4.0,451877086,2024-09-09
601728,中国电信,1.671,91507138699,2024-09-11
300286,安科瑞,1.0,214716125,2024-09-11
301310,鑫宏业,3.0,135938040,2024-09-12
002907,华森制药,0.35,417596314,2024-09-10
000423,东阿阿胶,11.46693,643976824,2024-09-10
301262,海看股份,0.96,417000000,2024-09-11
688069,德林海,2.2,113000000,2024-09-10
300403,汉宇集团,1.3,603000000,2024-09-11
001210,金房能源,1.0,130677230,2024-09-10
300866,安克创新,6.0,531410776,2024-09-11
300784,利安科技,2.0,56237600,2024-09-11
300227,光韵达,0.25,494581391,2024-09-11
603496,恒为科技,0.2,320209243,2024-09-11
300099,尤洛卡,0.45,737265255,2024-09-13
002154,报喜鸟,0.7,1459333729,2024-09-12
300757,罗博特科,0.53,155038368,2024-09-12
300884,狄耐克,1.0,252000000,2024-09-12
600028,中国石化,1.46,121699823893,2024-09-13
300818,耐普矿机,1.0,153155013,2024-09-11
688484,南芯科技,1.0,423530000,2024-09-12
603866,桃李面包,1.2,1599719155,2024-09-13
688163,赛伦生物,1.2,108220000,2024-09-12
002797,第一创业,0.1,4202400000,2024-09-13
688285,高铁电气,0.06,376289913,2024-09-13
603444,吉比特,45.0,72041101,2024-09-13
300707,威唐工业,0.3,176975894,2024-09-13
605580,恒盛能源,1.0,280000000,2024-09-12
301035,润丰股份,1.8,278662094,2024-09-13
002991,甘源食品,10.92,93215831,2024-09-13
301003,江苏博云,3.0,99053333,2024-09-13
605016,百龙创园,0.3,323086400,2024-09-13
605389,长龄液压,3.5,144087070,2024-09-13
002083,孚日股份,1.5,781019052,2024-09-13
002646,天佑德酒,0.33,482002974,2024-09-13
603078,江化微,0.3,385637248,2024-09-13
002653,海思科,1.45,1114117970,2024-09-18
920438,戈碧迦,1.0,141250000,2024-09-19
603291,联合水务,0.35,423220604,2024-09-18
300170,汉得信息,0.1,984845711,2024-09-18
601857,中国石油,2.2,183020977818,2024-09-19
002632,道明光学,1.3,624599090,2024-09-19
603390,通达电气,0.3,351686984,2024-09-18
688106,金宏气体,1.5,487652692,2024-09-19
002303,美盈森,3.2,1531323685,2024-09-18
300774,倍杰特,1.0,408763660,2024-09-20
002978,安宁股份,5.0,401000000,2024-09-18
300960,通业科技,1.0,102664395,2024-09-19
603166,福达股份,1.0,646208651,2024-09-18
002174,游族网络,0.01,915910551,2024-09-20
603928,兴业股份,0.4,262080000,2024-09-18
688155,先惠技术,3.0,125050244,2024-09-18
688519,南亚新材,1.0,240941600,2024-09-18
600577,精达股份,0.4,2108678674,2024-09-19
603132,金徽股份,1.7,978000000,2024-09-19
300493,润欣科技,0.1,512575047,2024-09-20
603130,云中马,1.3,137514200,2024-09-19
300650,太龙股份,0.2,218296126,2024-09-19
300626,华瑞股份,0.17,180000000,2024-09-20
600999,招商证券,1.01,8696526806,2024-09-20
300532,今天国际,5.0,310231301,2024-09-19
301326,捷邦科技,2.0,72192828,2024-09-20
603387,基蛋生物,0.9,507153517,2024-09-19
002236,大华股份,1.84,3292346690,2024-09-20
300907,康平科技,5.0,96000000,2024-09-20
001376,百通能源,0.5,460900000,2024-09-20
920533,骏创科技,1.0,100151100,2024-09-23
300801,泰和科技,0.5,218430000,2024-09-20
300003,乐普医疗,1.42,1880610596,2024-09-20
603897,长城科技,7.0,206435681,2024-09-20
301023,奕帆传动,4.0,56000250,2024-09-23
603001,奥康国际,1.2,400980000,2024-09-20
920879,基康技术,1.5,139497776,2024-09-23
002322,理工能科,3.9,379147970,2024-09-20
605368,蓝天燃气,4.5,705268326,2024-09-20
300244,迪安诊断,6.5,624979436,2024-09-20
002165,红宝丽,0.3,735269837,2024-09-23
300233,金城医药,1.0,383874587,2024-09-20
920982,锦波生物,10.0,88511800,2024-09-24
300563,神宇股份,0.7,177682526,2024-09-23
688293,奥浦迈,2.2032,114772460,2024-09-20
000554,泰山石油,0.2,480793318,2024-09-24
301050,雷电微力,3.0,174967506,2024-09-23
000963,华东医药,3.5,1754262548,2024-09-20
600420,国药现代,1.0,1341172692,2024-09-20
920679,前进科技,3.0,55850000,2024-09-23
600400,红豆股份,0.1,2296571852,2024-09-23
300701,森霸传感,0.35,282735119,2024-09-24
600032,浙江新能,0.56,2404675324,2024-09-23
920779,武汉蓝电,5.0,57200000,2024-09-24
603197,保隆科技,2.1,212076320,2024-09-24
301381,赛维时代,3.0,400100000,2024-09-24
300448,浩云科技,0.15,676517079,2024-09-24
301377,鼎泰高科,2.0,410000000,2024-09-23
920799,艾融软件,0.5,209780050,2024-09-25
003028,振邦智能,4.5,111779154,2024-09-23
000048,京基智农,3.8,530569250,2024-09-24
603345,安井食品,13.8,293294232,2024-09-25
301499,维科精密,0.28,138254866,2024-09-24
920790,联迪信息,1.0,78967020,2024-09-26
920299,灿能电力,2.219528,90109276,2024-09-26
600235,民丰特纸,0.45,351300000,2024-09-23
600980,北矿科技,0.3,189263526,2024-09-24
001234,泰慕士,2.0,109433700,2024-09-25
601607,上海医药,0.8,3704188795,2024-09-24
002043,兔宝宝,2.8,832058923,2024-09-25
600508,上海能源,2.0,722718000,2024-09-24
300496,中科创达,1.25,459199894,2024-09-24
605066,天正电气,1.0,507333500,2024-09-24
002988,豪美新材,2.5,247960384,2024-09-24
600282,南钢股份,1.0,6165091011,2024-09-24
002019,亿帆医药,1.0,1216390085,2024-09-25
920834,三维装备,1.0,120000005,2024-09-24
920252,天宏锂电,0.2,102650665,2024-09-25
002683,广东宏大,2.0,760002247,2024-09-26
301336,趣睡科技,0.48,40000000,2024-09-26
301446,福事特,1.0,104000000,2024-09-27
000681,视觉中国,0.08,700577436,2024-09-26
688720,艾森股份,0.45,88133334,2024-09-25
003000,劲仔食品,1.0,450969159,2024-09-26
300628,亿联网络,6.0,1263815202,2024-09-26
002027,分众传媒,1.0,14442199726,2024-09-26
600019,宝钢股份,1.1,21985240734,2024-09-25
688531,日联科技,2.0,114504414,2024-09-25
300187,永清环保,0.3,645622165,2024-09-27
601825,沪农商行,2.39,9644444445,2024-09-25
300580,贝斯特,0.3,499153912,2024-09-26
605118,力鼎光电,0.9,407116000,2024-09-25
002372,伟星新材,1.0,1592037988,2024-09-26
688682,霍莱沃,0.8,72742068,2024-09-26
001337,四川黄金,1.0,420000000,2024-09-26
002003,伟星股份,2.0,1169141853,2024-09-25
688088,虹软科技,1.5,401170400,2024-09-25
603307,扬州金泉,4.0,67000000,2024-09-25
603685,晨丰科技,0.14,169007951,2024-09-26
000936,华西股份,0.2,886012887,2024-09-26
002111,威海广泰,0.5,531306970,2024-09-25
300758,七彩化学,0.5,406038596,2024-09-26
301392,汇成真空,2.5,100000000,2024-09-26
603976,正川股份,1.0,151202081,2024-09-25
002661,克明食品,2.0,343834842,2024-09-27
301325,曼恩斯特,2.1,143892660,2024-09-26
300751,迈为股份,5.0,279405006,2024-09-26
301608,博实结,6.3,88990000,2024-09-26
002271,东方雨虹,6.0,2436315528,2024-09-26
301061,匠心家居,5.0,166400000,2024-09-26
301123,奕东电子,1.0,233600000,2024-09-27
301606,绿联科技,3.0,414909806,2024-09-27
301179,泽宇智能,1.5,333831041,2024-09-27
301020,密封科技,1.5,146400000,2024-09-27
301172,君逸数码,1.0,123200000,2024-09-27
001231,农心科技,0.5,100000000,2024-09-27
688289,圣湘生物,2.5,583388006,2024-09-26
000915,华特达因,5.0,234331485,2024-09-27
301187,欧圣电气,5.0,182607661,2024-09-27
300824,北鼎股份,0.8,326341682,2024-09-27
001323,慕思股份,7.5,400010000,2024-09-27
688150,莱特光电,1.2,402437585,2024-09-26
300982,苏文电能,1.5,206965146,2024-09-27
301206,三元生物,1.5,202325700,2024-09-27
603348,文灿股份,1.5,308289090,2024-09-27
301121,紫建电子,1.5,70803184,2024-09-27
300258,精锻科技,0.6,481777185,2024-09-30
605136,丽人丽妆,0.06,400458500,2024-09-27
301078,孩子王,0.2,1114186643,2024-09-27
301329,信音电子,1.4,170200000,2024-09-27
002985,北摩高科,2.5,331853600,2024-09-27
603236,移远通信,2.6,264574906,2024-09-26
920000,安徽凤凰,0.6,91680000,2024-09-30
000756,新华制药,0.25,682407635,2024-09-27
603960,克来机电,0.28,263023500,2024-09-26
300373,扬杰科技,2.6,543347787,2024-09-27
600839,四川长虹,0.5,4616244222,2024-09-27
300534,陇神戎发,0.2,303345000,2024-09-27
002540,亚太科技,1.6,1250186782,2024-09-26
920221,易实精密,1.0,96700000,2024-09-27
002972,科安达,1.5,246008800,2024-09-27
301196,唯科科技,5.0,124800000,2024-09-27
002409,雅克科技,3.2,475927678,2024-09-27
600367,红星发展,0.1,341130902,2024-09-30
002558,巨人网络,1.4,1973542406,2024-09-27
300307,慈星股份,1.0,787801776,2024-09-27
301007,德迈仕,0.8,153340000,2024-09-27
603885,吉祥航空,0.9,2214005268,2024-09-26
301031,中熔电气,1.003962,66277427,2024-09-27
603095,越剑智能,3.0,184800000,2024-09-27
002863,今飞凯达,0.05,598655104,2024-09-27
300720,海川智能,0.8,194877256,2024-09-30
000920,沃顿科技,0.5,472621118,2024-09-30
