code,name,div_per_10,total_shares,ex_date
300561,汇金科技,3.6,56000000,2017-02-17
603025,大豪科技,4.5,447000000,2017-03-03
600816,建元信托,6.0,2071643151,2017-03-06
002479,富春环保,1.0,796350000,2017-03-03
300304,云意电气,1.0,226829268,2017-03-03
002349,精华制药,1.5,420294831,2017-03-14
300033,同花顺,9.0,537600000,2017-03-15
000545,金浦钛业,0.3,986833096,2017-03-15
601677,明泰铝业,1.0,510796000,2017-03-21
300398,飞凯材料,1.0,104000000,2017-03-22
300286,安科瑞,2.0,142664000,2017-03-27
600621,华鑫股份,0.9,524082351,
002277,友阿股份,1.0,708302600,2017-03-27
601211,国泰海通,3.9,7625000000,2017-03-29
002014,永新股份,5.0,335744483,2017-03-30
002772,众兴菌业,1.0,373330707,2017-03-31
300401,花园生物,0.5,181400000,2017-03-31
300016,北陆药业,0.1,325993251,2017-03-31
603822,ST嘉澳,2.08,73350000,2017-03-31
002382,蓝帆医疗,2.0,494355000,2017-04-07
000838,*ST发展,0.21,1100462170,2017-04-07
603579,荣泰健康,6.0,70000000,2017-04-07
603338,浙江鼎力,1.8,162500000,2017-04-07
603716,塞力医疗,0.8,50940000,2017-04-07
300376,易事特,0.9,575958639,2017-04-07
300146,汤臣倍健,2.6,1470321880,2017-04-07
600873,梅花生物,3.0,3108226603,2017-04-11
300144,宋城演艺,1.0,1452613577,2017-04-10
603636,南威软件,1.6,101707880,2017-04-07
300363,博腾股份,0.600204,424957163,2017-04-10
600794,保税科技,0.1,1212152157,2017-04-10
601099,太平洋,0.3,6816316370,2017-04-10
002033,丽江股份,1.0,422685163,2017-04-11
600738,丽尚国潮,0.7,368867627,2017-04-12
002683,广东宏大,0.5,701487983,2017-04-13
002727,一心堂,2.0,520600000,2017-04-13
300501,海顺新材,5.0,53380000,2017-04-13
603658,安图生物,6.5,420000000,2017-04-13
002760,凤形股份,0.4,88000000,2017-04-13
300050,世纪鼎利,0.5,498914466,2017-04-13
600664,哈药股份,5.0,2541243276,2017-04-13
