code,name,div_per_10,total_shares,ex_date
002319,乐通股份,1.0,100000000,2013-03-04
600732,爱旭股份,1.0,247990600,2013-03-04
600879,航天电子,1.0,811040784,2013-03-08
002571,德力股份,0.6,170200000,2013-03-11
002653,海思科,7.5,400100000,2013-03-11
300011,鼎汉技术,0.2,154128000,2013-03-12
002317,众生药业,5.0,180000000,2013-03-11
600507,方大特钢,10.0,1300530485,2013-03-11
300054,鼎龙股份,2.8,136200000,2013-03-12
600488,津药药业,0.2,542889973,2013-03-13
600794,保税科技,2.1,237175945,2013-03-14
600516,方大炭素,3.0,1279077898,2013-03-19
300044,*ST赛为,1.0,100000000,2013-03-19
000690,宝新能源,1.5,1726612500,2013-03-19
002549,凯美特气,1.2,180000000,2013-03-20
300343,联创股份,4.0,40000000,2013-03-19
002492,恒基达鑫,1.5,120000000,2013-03-22
600248,陕建股份,1.0,425989200,
002355,兴民智通,0.3,257600000,2013-03-22
002092,中泰化学,2.0,1154340000,2013-03-21
300294,博雅生物,5.0,75800000,2013-03-20
002305,*ST南置,0.998311,961623520,2013-03-27
002479,富春环保,3.0,434000000,2013-03-28
300303,聚飞光电,1.5,136000000,2013-03-28
002276,万马股份,0.5,928937488,2013-03-29
002424,ST百灵,4.0,470400000,2013-03-29
002546,新联电子,4.0,168000000,2013-04-01
002530,金财互联,0.6,268000000,2013-04-02
300039,上海凯宝,5.0,263040000,2013-04-02
002269,美邦服饰,7.5,1005000000,2013-04-01
002425,凯撒文化,0.6,214000000,2013-04-02
002469,三维化学,1.0,168922342,2013-04-03
300298,三诺生物,7.5,88000000,2013-04-03
601700,风范股份,5.0,219600000,2013-04-02
002117,东港股份,2.0,252748344,2013-04-03
002347,泰尔股份,0.5,104000000,2013-04-02
300146,汤臣倍健,6.0,218720000,2013-04-02
600118,中国卫星,1.0,916598774,2013-04-03
002577,雷柏科技,3.4,217600000,2013-04-08
600880,博瑞传播,2.3,627980077,2013-04-03
601360,三六零,3.0,231300000,2013-04-08
600230,沧州大化,1.2,259331620,2013-04-09
002485,ST雪发,2.0,320000000,2013-04-10
002243,力合科创,0.3,258068956,2013-04-08
002494,华斯股份,2.0,113500000,2013-04-09
002315,焦点科技,8.0,117500000,2013-04-10
002216,三全食品,2.0,201054383,2013-04-11
300144,宋城演艺,1.5,554400000,2013-04-11
002697,红旗连锁,2.17,200000000,2013-04-10
002486,嘉麟杰,0.7,208000000,2013-04-11
000100,TCL科技,0.38,8476218834,2013-04-12
300127,银河磁体,4.5,161573180,2013-04-12
300251,光线传媒,4.0,241120000,2013-04-12
601377,兴业证券,1.2,2200000000,2013-04-11
300046,台基股份,4.0,142080000,2013-04-11
002688,金河生物,5.0,108920000,2013-04-12
