code,name,div_per_10,total_shares,ex_date
600499,科达制造,2.0,171885000,2008-08-14
600975,新五丰,1.9,180277020,2008-08-21
002194,武汉凡谷,3.0,427600000,2008-09-12
000983,山西焦煤,0.6,1212000000,2008-09-12
000718,苏宁环球,1.0,683623013,2008-09-17
600785,新华百货,2.0,123471000,2008-09-19
601857,中国石油,1.3183,183020977818,2008-09-19
600028,中国石化,0.3,86702439000,2008-09-22
600428,中远海特,2.0,655200000,2008-09-23
002254,泰和新材,10.0,125500000,2008-09-25
002103,广博股份,1.0,218431000,2008-09-24
601328,交通银行,1.0,48994383703,2008-09-25
601318,中国平安,2.0,7345053334,2008-10-06
002024,ST易购,1.0,1495504000,2008-09-26
000826,*ST启环,0.45,229642300,2008-09-26
002001,新和成,10.0,342060000,2008-10-08
002215,诺普信,1.5,120000000,2008-10-17
000600,建投能源,0.12,830600110,2008-10-22
600718,东软集团,0.25,524612925,2008-10-23
600161,天坛生物,0.9,488250000,2008-10-23
600162,香江控股,0.2,529525944,2008-10-29
000001,平安银行,0.335,2388795202,2008-10-31
600158,中体产业,1.0,730506816,2008-10-30
601939,建设银行,1.105,233689084000,2008-11-17
600970,中材国际,10.0,168000000,2008-11-04
002080,中材科技,2.0,150000000,2008-11-12
002128,电投能源,3.0,850439850,2008-12-10
600166,福田汽车,1.8,916408500,2008-12-12
601600,中国铝业,0.52,13524487892,2008-12-17
