code,name,div_per_10,total_shares,ex_date
000858,五粮液,1.0,511200000.0,2001-09-04
600226,亨通股份,1.5,211245120.0,2001-09-07
000962,东方钽业,0.5,297000000.0,2001-09-11
000778,新兴铸管,6.0,434500000.0,2001-09-13
600380,健康元,3.0,271080000.0,2001-09-18
000911,*ST广糖,3.4,224000000.0,2001-09-21
600110,诺德股份,0.22,127800400.0,2001-09-25
000157,中联重科,0.5,150000000.0,2001-09-26
600256,广汇能源,1.5,353783188.0,2001-09-28
600071,凤凰光学,0.25,182671120.0,2001-10-10
000063,中兴通讯,1.5,463400000.0,2001-10-17
000892,欢瑞世纪,0.75,275917920.0,2001-10-16
000983,山西焦煤,1.0,808000000.0,2001-10-17
001896,豫能控股,2.0,430000000.0,2001-10-18
600191,华资实业,0.38,263550000.0,2001-10-19
000790,华神科技,0.5,85320000.0,2001-10-19
600198,大唐电信,2.0,438986400.0,2001-10-23
000700,模塑科技,2.0,124521800.0,2001-10-23
600501,航天晨光,1.0,123000000.0,2001-10-25
000153,丰原药业,1.5,65002300.0,2001-10-23
000877,天山股份,2.0,144460000.0,2001-10-25
600418,江淮汽车,1.0,230000000.0,2001-10-25
000888,峨眉山A,1.0,118660000.0,2001-10-26
600720,中交设计,0.5,346954252.0,2001-10-26
600006,东风股份,0.5,1000000000.0,2001-10-30
600724,宁波富达,2.0,227730538.0,2001-10-30
600376,首开股份,0.5,108250000.0,2001-10-31
000564,供销大集,1.0,202007024.0,2001-11-02
600239,ST云城,0.25,75849000.0,2001-11-02
000792,盐湖股份,2.2,220850000.0,2001-11-05
600096,云天化,2.0,368181800.0,2001-11-08
600319,亚星化学,0.8,315594000.0,2001-11-13
600301,华锡有色,0.4,185148140.0,2001-11-14
000407,胜利股份,2.0,239588758.0,2001-11-15
000820,*ST节能,0.2,211416000.0,2001-11-16
000753,漳州发展,0.5,225472631.0,2001-11-16
000568,泸州老窖,2.5,488934600.0,2001-11-20
000876,新希望,2.0,194026000.0,2001-11-20
600078,澄星股份,3.0,180061968.0,2001-11-21
600855,航天长峰,0.2,160080000.0,2001-12-07
600149,廊坊发展,0.5,169800000.0,2001-12-05
600197,伊力特,1.7,220500000.0,2001-12-11
600163,中闽能源,1.5,305946640.0,2001-12-13
000548,湖南投资,0.6,340608048.0,2001-12-17
000657,中钨高新,1.0,171081300.0,2001-12-26
000933,神火股份,3.0,228680000.0,2001-12-27
600080,ST金花,0.21,230835200.0,2002-02-01
000910,大亚圣象,1.0,231250000.0,2002-02-05
