code,name,div_per_10,total_shares,ex_date
002479,富春环保,4.0,428000000,2012-02-17
002014,永新股份,3.0,183019200,2012-02-20
002389,航天彩虹,2.0,134000000,2012-02-20
300166,东方国信,2.0,40500000,2012-02-21
002561,徐家汇,3.6,415763000,2012-03-01
300146,汤臣倍健,10.0,109360000,2012-03-05
002653,海思科,6.0,400100000,2012-03-08
600356,恒丰纸业,1.01,231600000,2012-03-13
002270,华明装备,0.5,145500000,2012-03-13
601717,中创智领,1.2,700000000,2012-03-13
002355,兴民智通,2.5,210400000,
601678,滨化股份,2.0,660000000,2012-03-15
002272,川润股份,1.0,170550000,2012-03-14
600499,科达制造,1.0,632011700,2012-03-15
002546,新联电子,2.5,168000000,2012-03-21
600794,保税科技,0.7,213915986,2012-03-22
000703,恒逸石化,10.0,576793813,2012-03-27
600703,三安光电,3.0,1444013776,2012-03-26
002371,北方华创,1.0,84500000,2012-03-27
002367,康力电梯,3.0,252480000,2012-03-28
300182,捷成股份,4.0,112000000,2012-03-27
300141,和顺电气,2.0,55200000,2012-03-28
002108,沧州明珠,1.0,301654800,2012-03-29
002276,万马股份,1.0,431600000,2012-03-28
002614,奥佳华,4.0,120000000,2012-03-29
002628,成都路桥,1.2,167000000,2012-03-29
002469,三维化学,1.0,112614895,2012-03-29
300222,科大智能,4.0,60000000,2012-03-30
002374,中锐股份,1.0,85600000,2012-03-30
600166,福田汽车,1.2,2109671600,2012-03-29
002530,金财互联,1.2,134000000,2012-03-30
300143,盈康生命,2.0,147400000,2012-03-30
300271,华宇软件,15.0,74000000,2012-04-05
002538,ST司特,2.0,148000000,2012-04-05
600406,国电南瑞,1.0,1050358858,2012-04-05
002364,中恒电气,1.5,100200000,2012-04-05
002177,御银股份,0.5,344430450,2012-04-09
300031,宝通科技,2.0,100000000,2012-04-09
300177,中海达,1.0,100000000,2012-04-09
300127,银河磁体,6.0,161573180,2012-04-09
300102,乾照光电,4.0,295000000,2012-04-09
002549,凯美特气,1.2,120000000,2012-04-06
002229,鸿博股份,2.65,156940000,2012-04-06
300099,尤洛卡,5.0,103350000,2012-04-09
002463,沪电股份,1.0,830436391,2012-04-10
002298,中电鑫龙,0.25,165000000,2012-04-09
600403,大有能源,7.0,833649963,2012-04-11
002050,三花智控,5.0,297368666,2012-04-09
002533,金杯电工,1.0,280000000,2012-04-09
002442,龙星科技,2.0,320000000,2012-04-11
300274,阳光电源,2.0,179200000,2012-04-11
300016,北陆药业,2.0,152749104,2012-04-11
002381,双箭股份,2.0,117000000,2012-04-10
300082,奥克股份,3.3,259200000,2012-04-11
002277,友阿股份,1.5,349200000,2012-04-10
002137,实益达,0.8,312156000,2012-04-10
002421,达实智能,2.0,101400000,2012-04-10
002637,赞宇科技,4.0,80000000,2012-04-10
300209,行云科技,1.0,80000000,2012-04-11
600323,瀚蓝环境,0.8,325282103,2012-04-10
300059,东方财富,1.0,210000000,2012-04-11
000690,宝新能源,0.55,1726612500,2012-04-11
600577,精达股份,1.0,360566900,2012-04-11
600219,南山铝业,1.0,1934154495,2012-04-11
601877,正泰电器,7.0,1005000000,2012-04-11
000598,兴蓉环境,1.0,1153571700,2012-04-13
600887,伊利股份,2.5,1598645500,2012-04-12
300011,鼎汉技术,2.8,102752000,2012-04-12
002541,鸿路钢构,3.7,134000000,2012-04-12
300275,梅安森,4.0,58670000,2012-04-13
300190,维尔利,3.0,53000000,2012-04-13
601599,浙文影业,2.0,212000000,2012-04-12
600858,银座股份,0.3,288925883,2012-04-12
000762,西藏矿业,1.0,317316585,2012-04-16
002539,云图控股,2.5,331040000,2012-04-13
300144,宋城演艺,2.0,369600000,2012-04-13
002339,积成电子,2.0,86000000,2012-04-13
002289,宇顺电子,0.5,73500000,2012-04-16
600168,武汉控股,0.26,441150000,2012-04-16
002049,紫光国微,1.0,135000000,2012-04-17
002092,中泰化学,1.0,1154340000,2012-04-18
002353,杰瑞股份,3.0,229636000,2012-04-17
002313,日海智能,3.0,100000000,2012-04-17
002532,天山铝业,1.0,160000000,2012-04-18
600784,鲁银投资,1.2,248306873,2012-04-16
300267,尔康制药,3.0,184000000,2012-04-17
002453,华软科技,2.0,120000000,2012-04-17
300046,台基股份,6.0,142080000,2012-04-17
002321,华英农业,1.0,147000000,2012-04-18
002342,巨力索具,0.5,960000000,2012-04-18
002322,理工能科,2.0,66700000,2012-04-17
300048,合康新能,2.0,241532000,2012-04-18
002194,武汉凡谷,2.5,555880000,2012-04-19
002581,*ST未名,5.0,108280000,2012-04-18
002405,四维图新,1.7,480275494,2012-04-18
002501,*ST利源,2.0,187200000,2012-04-19
600422,昆药集团,2.0,314176000,2012-04-18
600588,用友网络,4.0,815903367,2012-04-19
600517,国网英大,4.0,618705000,2012-04-19
601799,星宇股份,5.8,239560000,2012-04-19
300120,经纬辉开,1.6,113100000,2012-04-20
600521,华海药业,1.0,538607285,2012-04-19
002264,新华都,0.8,357066517,2012-04-20
002410,广联达,5.0,270000000,2012-04-20
300219,鸿利智汇,1.0,122733000,2012-04-19
002372,伟星新材,8.0,253400000,2012-04-20
002559,亚威股份,3.5,88000000,2012-04-20
002299,圣农发展,3.3,910900000,2012-04-19
600230,沧州大化,0.3,259331620,2012-04-19
300003,乐普医疗,1.8,812000000,2012-04-23
300270,中威电子,1.0,40000000,2012-04-23
002161,远望谷,1.0,369878700,2012-04-23
000088,盐田港,3.5,1494000000,2012-04-23
002407,多氟多,1.0,222560000,2012-04-23
300138,晨光生物,2.0,89785436,2012-04-24
600067,冠城新材,1.3,735502537,2012-04-20
300136,信维通信,1.5,133340000,2012-04-23
002022,科华生物,4.0,492277500,2012-04-24
002428,云南锗业,1.0,163280000,2012-04-24
002091,江苏国泰,1.5,360000000,2012-04-23
300063,天龙集团,1.5,67000000,2012-04-24
300229,拓尔思,3.0,120000000,2012-04-24
002474,榕基软件,3.0,103700000,2012-04-24
002566,益盛药业,2.0,110317200,
002117,东港股份,4.0,126414172,2012-04-25
300037,新宙邦,4.0,107000000,2012-04-24
300008,天海防务,1.7,145656000,2012-04-23
600720,中交设计,1.5,474902332,2012-04-23
600712,南宁百货,0.7,340409600,2012-04-23
002468,申通快递,2.5,192000000,2012-04-24
600309,万华化学,6.0,2162334720,2012-04-24
600106,重庆路桥,0.7,453871000,2012-04-24
601360,三六零,1.5,224000000,2012-04-24
002318,久立特材,1.0,208000000,2012-04-25
002612,朗姿股份,6.0,200000000,2012-04-25
002035,华帝股份,2.0,223303080,2012-04-24
002347,泰尔股份,3.0,104000000,2012-04-24
300155,安居宝,2.8,180000000,2012-04-26
002661,克明食品,5.0,83080000,2012-04-24
000860,顺鑫农业,2.0,438540000,2012-04-26
600157,永泰能源,1.0,883779765,2012-04-24
002084,海鸥住工,1.0,335583318,2012-04-25
002012,凯恩股份,2.0,233812735,2012-04-25
000728,国元证券,1.0,1964100000,2012-04-26
002642,荣联科技,3.0,100000000,2012-04-26
300012,华测检测,2.0,183982500,2012-04-26
002136,安纳达,1.0,215020000,2012-04-26
002320,海峡股份,4.0,327600000,2012-04-25
002273,水晶光电,5.0,124853000,2012-04-26
300039,上海凯宝,6.0,263040000,2012-04-26
300072,海新能科,1.0,194540000,2012-04-27
300041,回天新材,3.0,105596825,2012-04-27
000948,南天信息,0.8,210550951,2012-04-25
002199,东晶电子,1.0,126258873,2012-04-26
300226,上海钢联,1.0,40000000,2012-04-27
300263,隆华科技,3.0,80000000,2012-04-27
000059,华锦股份,1.0,1200506367,2012-04-26
002079,苏州固锝,0.8,401699790,2012-04-27
600121,郑州煤电,1.0,629140000,2012-04-26
300122,智飞生物,2.5,400000000,2012-04-26
002562,兄弟科技,1.0,106700000,2012-04-27
601000,唐山港,0.8,1127973058,2012-04-26
300148,天舟文化,1.5,97500000,2012-04-27
002513,蓝丰生化,2.0,133200000,2012-04-27
002582,好想你,3.0,73800000,2012-04-27
300101,振芯科技,1.5,139000000,2012-04-26
002508,老板电器,2.0,256000000,2012-04-26
002583,海能达,0.6,278000000,2012-04-27
002497,雅化集团,3.0,320000000,2012-04-26
002233,塔牌集团,2.2,894655969,2012-04-26
002521,齐峰新材,3.0,206150000,2012-04-26
300132,青松股份,1.0,120600000,2012-04-27
002643,万润股份,5.0,137820000,2012-04-27
002493,荣盛石化,5.0,1112000000,2012-04-26
002588,史丹利,2.0,130000000,2012-05-02
002548,金新农,3.0,94000000,2012-05-02
002522,浙江众成,3.0,170672000,2012-05-02
002351,漫步者,2.0,294000000,2012-04-27
300147,*ST香雪,2.0,246000000,2012-04-27
002124,天邦食品,1.0,205500000,2012-05-02
002595,豪迈科技,6.0,200000000,2012-05-02
300239,东宝生物,1.0,75980000,2012-04-27
000536,华映科技,5.2,700493506,2012-04-27
002152,广电运通,1.0,444784111,2012-04-27
300204,舒泰神,5.0,66700000,2012-04-27
300251,光线传媒,10.0,109600000,2012-04-27
600360,华微电子,0.5,678080000,2012-04-27
002148,北纬科技,0.3,113400000,2012-05-04
002248,华东数控,0.5,257495600,2012-05-03
300066,三川智慧,2.0,104000000,2012-05-04
300250,初灵信息,2.5,40000000,2012-05-04
002632,道明光学,2.0,106670000,2012-05-02
000596,古井贡酒,4.5,251800000,2012-05-02
002458,益生股份,10.0,140400000,2012-05-04
601008,连云港,0.4,624334693,2012-05-02
300201,海伦哲,1.0,80000000,2012-05-02
600227,赤天化,0.2,950392526,2012-05-02
002349,精华制药,1.0,100000000,2012-05-02
002305,*ST南置,0.8,960000000,2012-05-02
300056,中创环保,1.0,52496000,2012-05-03
000895,双汇发展,5.5,605994900,2012-05-04
600487,亨通光电,1.0,207082505,2012-05-02
002290,禾盛新材,1.0,150480000,2012-05-04
300088,长信科技,1.5,251000000,2012-05-04
300009,安科生物,2.0,189000000,2012-05-04
300047,天源迪科,3.0,156900000,2012-05-04
300050,世纪鼎利,1.5,216000000,2012-05-07
002343,慈文传媒,2.5,198120000,2012-05-04
002210,飞马国际,1.0,306000000,2012-05-04
300119,瑞普生物,3.0,148296000,2012-05-04
002250,联化科技,1.0,396992550,2012-05-03
002598,ST章鼓,4.0,156000000,2012-05-03
002465,海格通信,6.0,332506510,2012-05-04
300238,冠昊生物,2.5,61100000,2012-05-07
