code,name,div_per_10,total_shares,ex_date
002565,顺灏股份,2.016664,709104615,2018-08-06
603587,地素时尚,10.0,401000000,2018-08-16
920725,惠丰钻石,3.0,32500000,
920981,晶赛科技,26.0,11100000,
603988,中电电机,0.8,168000000,2018-08-31
603579,荣泰健康,3.0,140000000,2018-08-31
600114,东睦股份,2.0,645794521,2018-09-04
002206,海利得,2.0,1223028645,2018-09-05
601318,中国平安,6.2,18280241410,2018-09-06
920089,禾昌聚合,2.0,78100000,2018-09-11
002075,沙钢股份,0.3,2206771772,2018-09-10
600028,中国石化,1.6,121071209646,2018-09-12
920599,同力股份,3.0,160000000,2018-09-14
002233,塔牌集团,4.2,1192275016,2018-09-14
601238,广汽集团,1.0,10214699866,2018-09-17
002733,雄韬股份,0.5,350113207,2018-09-13
002350,北京科锐,0.6,500271975,2018-09-14
002539,云图控股,0.6,1010100000,2018-09-14
920061,西磁科技,1.0,20000000,2018-09-17
002859,洁美科技,1.0,255700000,2018-09-18
002050,三花智控,1.0,2120316835,2018-09-18
300403,汉宇集团,4.15,603000000,2018-09-19
920533,骏创科技,1.0,46600000,2018-09-21
002833,弘亚数控,3.0,135302000,2018-09-21
300473,德尔股份,3.0,104920000,2018-09-20
920519,万德股份,1.5,69258104,2018-09-21
603328,依顿电子,5.6,997778478,2018-09-20
920943,优机股份,1.0,64930000,2018-09-25
601857,中国石油,0.888,183020977818,2018-09-21
002932,*ST明德,4.0,66585147,2018-09-21
002394,联发股份,2.5,323700000,2018-09-21
920174,五新智能,3.0,76300000,2018-09-28
920694,中裕科技,6.0,50000000,2018-09-26
300176,鸿特科技,0.5,203832000,2018-09-26
002568,百润股份,1.2,531742650,2018-09-25
300160,秀强股份,2.0,597760000,2018-09-25
002367,康力电梯,6.0,797652687,2018-09-26
920075,柏星龙,1.928566,51852000,2018-09-26
920261,一诺威,1.5,65300000,2018-09-26
603600,永艺股份,2.8,303044790,2018-09-26
920357,雅葆轩,4.0,45000000,2018-09-28
601877,正泰电器,2.0,2151408516,2018-09-27
002019,亿帆医药,3.0,1206974577,2018-09-26
920879,基康技术,0.9,138000000,2018-09-27
603158,腾龙股份,2.3,218600000,2018-09-26
603358,华达科技,2.0,224000000,2018-09-26
300195,长荣股份,4.5,433483630,2018-09-26
002516,旷达科技,2.0,1502392852,2018-09-26
600273,嘉化能源,1.25,1432730543,2018-09-27
300493,润欣科技,1.0,318045975,2018-09-28
600346,恒力石化,2.5,5052789925,2018-09-28
002555,三七互娱,1.0,2124870253,2018-09-27
920976,视声智能,0.6,33781000,2018-10-08
300676,华大基因,2.0,400100000,2018-09-28
300506,名家汇,1.0,344760935,2018-10-10
600738,丽尚国潮,1.0,783095436,2018-10-10
920405,海希通讯,1.0,53800000,2018-10-11
920227,美登科技,6.67,30000000,2018-10-11
300130,新国都,2.0,477897755,2018-10-12
002488,金固股份,1.5,674135774,2018-10-12
603766,隆鑫通用,0.7,2053541850,2018-10-12
002609,捷顺科技,3.0,665877771,2018-10-15
000635,英力特,12.0,303087602,2018-10-16
920299,灿能电力,20.0,20000000,2018-10-18
300743,天地数码,2.0,65438000,2018-10-19
920184,国源科技,1.0,100340000,2018-10-19
002612,朗姿股份,1.0,400000000,2018-10-18
002407,多氟多,1.5,702650481,2018-10-22
002818,富森美,5.0,445063000,2018-10-22
600966,博汇纸业,0.6,1336844288,2018-10-19
601216,君正集团,1.6,8438017390,2018-10-22
000338,潍柴动力,1.8,7997238556,2018-10-23
920374,云里物里,8.0,5150000,2018-10-25
002601,龙佰集团,6.540279,2032020889,2018-10-25
600660,福耀玻璃,4.0,2508617532,2018-10-24
002616,长青集团,2.0,741883144,2018-10-23
300421,力星股份,3.063055,133554687,2018-10-24
000723,美锦能源,2.0,4140378102,2018-10-26
920641,格利尔,2.0,60000000,2018-10-26
002406,远东传动,2.0,561000000,2018-10-24
601515,衢州东峰,2.3,1112000000,2018-10-25
002032,苏泊尔,4.6,821243960,2018-10-26
603693,江苏新能,2.0,618000000,2018-10-26
920204,沪江材料,3.5,21400000,2018-10-29
600855,航天长峰,0.088,352031272,2018-10-29
600390,五矿资本,1.98,3748387882,2018-10-31
002602,世纪华通,1.0,1459222653,2018-10-31
002322,理工能科,2.0,396662205,2018-10-31
603666,亿嘉和,1.4,70175479,2018-11-02
002745,木林森,0.75,1277168540,2018-11-02
300261,雅本化学,0.4,963309471,2018-11-05
601375,中原证券,0.1,3869070700,2018-11-06
920395,朗鸿科技,1.0,36000000,2018-11-08
920753,天纺标,3.76,53106600,2018-11-08
300510,金冠股份,0.56,291362449,2018-11-08
603733,仙鹤股份,3.0,612000000,2018-11-09
920819,颖泰生物,1.5,1106000000,2018-11-08
920726,朱老六,2.6,77500000,2018-11-14
603355,莱克电气,20.0,401000000,2018-11-14
601688,华泰证券,3.0,8251500000,2018-11-15
920267,鑫汇科,6.0,37550000,2018-11-22
920953,国子软件,4.84,13010000,2018-12-04
601066,中信建投,1.8,7646385238,2018-12-04
601869,长飞光纤,5.0,757905108,2018-12-12
600853,龙建股份,0.1,644167658,2018-12-17
600808,马钢股份,0.5,7700681186,2018-12-21
600338,西藏珠峰,6.0,653007263,2018-12-28
920837,华原股份,1.5,128870000,2019-01-25
000651,格力电器,6.0,6015730878,2019-02-25
