code,name,div_per_10,total_shares,ex_date
002391,长青股份,4.0,98920000,2010-08-25
002248,华东数控,1.0,128747800,2010-08-24
002364,中恒电气,2.0,66800000,2010-08-25
002310,东方新能,2.0,75121950,2010-08-26
002404,嘉欣丝绸,2.0,133500000,2010-08-27
000157,中联重科,1.7,1971054705,2010-08-27
600252,中恒集团,0.25,272936882,2010-08-30
002369,卓翼科技,5.0,100000000,2010-09-03
300082,奥克股份,3.0,108000000,2010-09-03
002198,ST嘉应,1.0,82000000,2010-09-08
002380,科远智慧,5.0,68000000,2010-09-09
300076,*ST宁视,3.0,53000000,2010-09-08
002397,梦洁股份,8.0,63000000,2010-09-09
601318,中国平安,1.5,7644142092,2010-09-09
600970,中材国际,2.7,759234208,2010-09-14
601328,交通银行,1.0,56259641398,2010-09-13
600028,中国石化,0.8,86702527774,2010-09-13
600376,首开股份,0.5,1149750000,2010-09-14
600458,时代新材,2.0,235155200,2010-09-15
002334,英威腾,3.0,64000000,2010-09-16
002384,东山精密,2.0,160000000,2010-09-15
002092,中泰化学,1.3,769560000,2010-09-20
601857,中国石油,1.6063,183020977818,2010-09-16
600246,万通发展,0.85,1216800000,2010-09-17
002351,漫步者,5.0,147000000,2010-09-21
002365,永安药业,5.0,93500000,2010-09-21
002219,新里程,0.34,186800000,2010-09-29
300050,世纪鼎利,1.5,54000000,2010-09-21
300101,振芯科技,2.0,69500000,2010-09-29
002137,实益达,1.0,260130000,2010-09-29
002094,青岛金王,0.2,214611080,2010-10-08
002394,联发股份,3.0,107900000,2010-10-12
600316,洪都航空,0.3,448196570,2010-10-11
600594,益佰制药,0.3,235170000,2010-10-15
002366,融发核电,3.5,133500000,2010-10-19
002431,ST棕榈,4.0,120000000,2010-10-21
002352,顺丰控股,2.0,77830780,2010-10-21
000963,华东医药,3.3,434059991,2010-10-25
600031,三一重工,1.3,2410700361,2010-10-22
600983,惠而浦,0.5,333000000,2010-10-22
002406,远东传动,2.0,187000000,2010-10-25
002378,章源钨业,1.5,428213646,2010-10-29
002424,ST百灵,5.0,147000000,2010-10-29
600097,开创国际,1.0,202597901,2010-11-04
002377,国创高新,3.0,107000000,2010-11-05
002328,新朋股份,1.0,300000000,2010-11-10
600712,南宁百货,0.6,173606400,2010-11-10
600846,同济科技,0.2,520634597,2010-11-29
601727,上海电气,0.589,12823626660,2010-12-03
002051,中工国际,3.5,226000000,2010-12-07
601186,中国铁建,0.5,12337541500,2011-02-14
