code,name,div_per_10,total_shares,ex_date
300286,安科瑞,4.0,71500000,2014-02-27
002219,新里程,1.0,440462000,2014-02-28
300181,佐力药业,5.0,144000000,2014-03-04
300267,尔康制药,1.0,239200000,2014-03-05
000690,宝新能源,3.0,1726612500,2014-03-05
002245,蔚蓝锂芯,0.8,375245000,2014-03-05
002195,岩山科技,1.0,113330000,2014-03-14
600794,保税科技,1.1,474351890,2014-03-19
002553,南方精工,4.5,87000000,2014-03-19
000975,山金国际,2.0,1085569741,2014-03-19
300054,鼎龙股份,0.5,293018405,2014-03-20
000860,顺鑫农业,1.0,438540000,2014-03-21
300074,华平股份,1.0,220000000,2014-03-21
000100,TCL科技,0.6,8535088914,2014-03-27
000782,恒申新材,0.4,404513250,2014-03-27
002408,齐翔腾达,1.6,560649600,2014-03-27
300165,天瑞仪器,1.2,153920000,2014-03-28
600230,沧州大化,0.5,259331620,2014-03-28
600880,博瑞传播,2.0,683332557,2014-03-31
002592,ST八菱,3.0,176714847,2014-04-01
002367,康力电梯,3.0,369606812,2014-03-31
300039,上海凯宝,2.6,526080000,2014-04-02
002198,ST嘉应,0.8,253754924,2014-04-03
300263,隆华科技,1.6,190814900,2014-04-03
002492,恒基达鑫,0.3,120000000,2014-04-02
002357,富临运业,1.0,195930648,2014-04-04
002130,沃尔核材,0.3,570676947,2014-04-04
002391,长青股份,3.0,210203600,2014-04-03
300146,汤臣倍健,10.0,328080000,2014-04-04
300294,博雅生物,5.0,75800000,2014-04-03
002374,中锐股份,0.5,191409229,2014-04-04
000965,天保基建,0.22,692337178,2014-04-04
300144,宋城演艺,1.0,557815000,2014-04-03
002148,北纬科技,1.5,127926438,2014-04-04
002117,东港股份,2.0,303280012,2014-04-04
601636,旗滨集团,1.8,693886700,2014-04-04
300360,炬华科技,5.0,79280000,2014-04-10
002539,云图控股,2.0,331040000,2014-04-10
300011,鼎汉技术,0.596603,232508000,2014-04-10
300172,中电环保,1.5,130000000,2014-04-10
002518,科士达,1.0,212305000,2014-04-10
601360,三六零,2.5,400456571,2014-04-09
300190,维尔利,1.0,156628800,2014-04-10
300253,卫宁健康,1.999074,108017100,2014-04-11
300046,台基股份,4.0,142080000,2014-04-10
002247,聚力文化,1.0,128800000,2014-04-10
002014,永新股份,3.0,325758450,2014-04-10
000598,兴蓉环境,0.25,2986218602,2014-04-11
300349,金卡智能,1.3,90000000,2014-04-11
601933,永辉超市,2.0,1627217820,2014-04-14
600168,武汉控股,0.53,709569692,2014-04-14
000055,方大集团,0.3,756909905,2014-04-15
300127,银河磁体,3.0,161573180,2014-04-14
000686,东北证券,0.8,978583016,2014-04-16
300148,天舟文化,0.5,152100000,2014-04-16
002469,三维化学,1.0,254666013,2014-04-16
002206,海利得,2.2,447580500,2014-04-16
002331,皖通科技,0.2,214256620,2014-04-15
600305,恒顺醋业,0.41,254300000,2014-04-15
