code,name,div_per_10,total_shares,ex_date
300601,康泰生物,3.0,672493637,2020-08-17
002560,通达股份,1.0,443856103,2020-08-21
920273,一致魔芋,5.0,42800000,2020-08-24
000863,三湘印象,4.0,1225208160,2020-08-25
603988,中电电机,2.13,235200000,2020-08-24
002363,隆基机械,4.0,416100301,2020-08-24
920445,龙竹科技,2.0,114490800,2020-08-27
002568,百润股份,6.0,519802650,2020-08-27
300697,电工合金,2.4,208000000,2020-08-28
920169,七丰精工,3.0,51660000,2020-09-03
920123,芭薇股份,3.0,30600000,2020-09-03
688516,奥特维,4.0,98670000,2020-09-01
600594,益佰制药,3.0,791927400,2020-09-02
603950,长源东谷,12.0,231522000,2020-09-08
002085,万丰奥威,2.0,2186879678,2020-09-10
600475,华光环能,2.5,559392211,2020-09-11
688598,金博股份,2.5,80000000,2020-09-14
920895,花溪科技,5.0,28060000,2020-09-14
920781,瑞奇智造,0.5,87816254,2020-09-15
300763,锦浪科技,10.0,138216598,2020-09-16
002802,洪汇新材,3.0,108346500,2020-09-16
002270,华明装备,0.5,759239130,2020-09-16
920599,同力股份,0.8,402525000,2020-09-16
300824,北鼎股份,2.0,217400000,2020-09-16
002986,宇新股份,10.0,113340000,2020-09-15
002050,三花智控,1.0,3592041778,2020-09-16
603159,上海亚虹,0.8,140000000,2020-09-17
603677,奇精机械,2.0,192129171,2020-09-17
920208,青矩技术,10.0,59440358,2020-09-18
601318,中国平安,8.0,18280241410,2020-09-16
920556,雅达股份,3.0,125315200,2020-09-18
300230,永利股份,2.5,816206041,2020-09-21
603408,建霖家居,3.5,446680000,2020-09-18
920475,三友科技,2.0,57200000,2020-09-18
002989,中天精装,4.0,151400000,2020-09-17
920802,保丽洁,5.0,52100000,2020-09-18
002367,康力电梯,1.5,797652687,2020-09-18
601238,广汽集团,0.3,10237929138,2020-09-21
002978,安宁股份,2.5,401000000,2020-09-18
920374,云里物里,2.39,26930000,2020-09-22
601857,中国石油,0.8742,183020977818,2020-09-22
920807,奔朗新材,1.5,129634000,2020-09-28
920943,优机股份,3.0,64930000,2020-09-22
920184,国源科技,2.0,133790000,2020-09-24
920299,灿能电力,1.785714,28000000,2020-09-28
920876,慧为智能,1.0,47880000,2020-09-22
603955,大千生态,5.0,135720000,2020-09-22
600328,中盐化工,1.4,957664592,2020-09-21
002091,江苏国泰,1.0,1563536598,2020-09-22
002394,联发股份,3.0,332763600,2020-09-22
920694,中裕科技,6.0,50919000,2020-09-23
920058,华洋赛车,4.8,32000000,2020-09-25
688311,盟升电子,3.5,114670000,2020-09-22
603897,长城科技,3.0,178403607,2020-09-23
002388,新亚制程,1.0,503766600,2020-09-23
300609,汇纳科技,2.5,121935640,2020-09-23
920682,球冠电缆,2.0,160000000,2020-09-24
600327,大东方,5.0,884779518,2020-09-24
688399,硕世生物,15.0,58620000,2020-09-25
920242,建邦科技,1.5,41692000,2020-09-24
002838,道恩股份,2.46,407027500,2020-09-24
002458,益生股份,1.0,991843342,2020-09-23
002809,红墙股份,1.0,206034333,2020-09-23
002600,领益智造,2.0,7042004019,2020-09-24
920278,鹿得医疗,2.0,110000000,2020-09-28
920223,荣亿精密,1.17647,102000000,2020-09-25
600389,江山股份,10.0,297000000,2020-09-24
300839,博汇股份,3.0,104000000,2020-09-25
300832,新产业,15.0,412350000,2020-09-25
002233,塔牌集团,3.2,1192275016,2020-09-24
300853,申昊科技,3.0,81628000,2020-09-24
002632,道明光学,1.3,624599090,2020-09-28
920799,艾融软件,3.0,74495500,2020-09-25
002555,三七互娱,3.0,2112251697,2020-09-25
920267,鑫汇科,2.5,42982941,2020-09-25
600967,内蒙一机,0.34,1689631817,2020-09-25
002109,ST兴化,0.2,1052944789,2020-09-25
920239,长虹能源,6.0,69323127,2020-09-28
300851,交大思诺,3.4,86933400,2020-09-28
920378,泰德股份,1.5,118206000,2020-09-29
603110,东方材料,2.7,143733380,2020-09-25
920656,海昇药业,3.3,60000000,2020-09-29
920014,特瑞斯,0.8,60000000,2020-09-28
603258,电魂网络,2.5,244026000,2020-09-29
600577,精达股份,0.5,1921405191,2020-09-28
920726,朱老六,2.6,77500000,2020-09-29
603948,建业股份,2.5,160000000,2020-09-29
600390,五矿资本,0.79,4498065459,2020-09-28
920533,骏创科技,1.0,46600000,2020-09-29
300261,雅本化学,0.4,963309471,2020-09-28
920641,格利尔,2.0,63000000,2020-09-30
002980,华盛昌,9.6,133333400,2020-09-28
002979,雷赛智能,7.0,208000000,2020-09-29
603998,方盛制药,0.6,429429720,2020-09-29
688318,财富趋势,6.0,66670000,2020-09-29
603985,恒润股份,2.0,203840000,2020-09-29
300142,沃森生物,0.2,1543451984,2020-09-30
300677,英科医疗,5.0,222315259,2020-10-12
920227,美登科技,5.0,30000000,2020-10-14
603608,天创时尚,2.0,430065867,2020-10-12
920925,锦好医疗,3.0,36100000,2020-10-14
920689,克莱特,3.0,60400000,2020-10-14
688312,燕麦科技,2.0,143478696,2020-10-14
920931,无锡鼎邦,1.66,60100000,2020-10-16
002595,豪迈科技,3.75,800000000,2020-10-15
603682,锦和商管,3.8,472500000,2020-10-16
000338,潍柴动力,1.5,7933873895,2020-10-16
688069,德林海,4.0,59470000,2020-10-16
688566,吉贝尔,2.4,186941600,2020-10-19
300846,首都在线,0.5,411316277,2020-10-20
002088,鲁阳节能,3.5,361702033,2020-10-19
603839,安正时尚,3.5,400102220,2020-10-19
002701,奥瑞金,1.17,2352628324,2020-10-20
920810,春光智能,2.0,37500000,2020-10-22
600028,中国石化,0.7,121071209646,2020-10-23
603363,傲农生物,1.0,517829056,2020-10-21
603328,依顿电子,1.2,998442611,2020-10-22
688096,京源环保,4.0,107293500,2020-10-22
000831,中国稀土,0.4,980888981,2020-10-23
920834,三维装备,4.8,62526200,2020-10-26
601012,隆基绿能,1.8,3771827351,2020-10-26
002775,文科股份,4.0,512760300,2020-10-26
000157,中联重科,2.1,7918698044,2020-10-27
920454,同心传动,0.5,76350000,2020-10-29
300655,晶瑞电材,0.996667,188735250,2020-10-28
688028,沃尔德,2.8,80000000,2020-10-29
603863,松炀资源,1.0,205894000,2020-10-30
300835,龙磁科技,5.0,70670000,2020-11-02
920204,沪江材料,3.5,22765700,2020-11-02
920075,柏星龙,3.857132,51852000,2020-11-05
605088,冠盛股份,3.0,160000000,2020-11-05
300498,温氏股份,3.0,6373463840,2020-11-05
920786,骑士乳业,2.0,159600000,2020-11-13
300087,ST荃银,0.5,430330071,2020-11-04
300856,科思股份,1.5,112880000,2020-11-06
002540,亚太科技,1.605092,1270529500,2020-11-05
920541,铁大科技,1.7,61000000,2020-11-09
002456,欧菲光,0.08,2694739325,2020-11-09
601865,福莱特,0.65,1954600000,2020-11-09
920639,晨光电缆,1.38,140000000,2020-11-12
000651,格力电器,10.0,6015730878,2020-11-12
002266,浙富控股,0.1,5369795962,2020-11-13
920718,合肥高科,1.0,68000000,2020-11-16
000886,海南高速,0.5,988828300,2020-11-13
920751,惠同新材,1.0,62000000,2020-11-17
920870,恒进感应,1.6,50000000,2020-11-23
600126,杭钢股份,1.2,3377189083,2020-11-25
600702,舍得酒业,2.0028,336179100,2020-11-27
920033,康普化学,3.0,57225000,2020-12-08
920971,天马新材,5.0,43220000,2020-12-07
601319,中国人保,0.36,44223990583,2020-12-08
920942,恒立钻具,1.5,25400000,2020-12-09
920247,华密新材,3.225806,62000000,2020-12-10
600999,招商证券,3.35,8696526806,2020-12-11
920496,许昌智能,2.0,101000000,2020-12-17
920017,星昊医药,2.18,91977200,2020-12-23
