code,name,div_per_10,total_shares,ex_date
300700,岱勒新材,0.9,82400000,2019-03-04
002315,焦点科技,5.0,235000000,2019-03-06
000055,方大集团,2.0,1123384189,2019-03-11
600738,丽尚国潮,16.0,783095436,2019-03-08
603225,新凤鸣,1.8,850874583,2019-03-28
600276,恒瑞医药,2.2,3685862057,2019-03-28
300132,青松股份,1.0,385920000,2019-03-29
300033,同花顺,4.8,537600000,2019-03-29
002728,特一药业,6.5,200903354,2019-03-29
300016,北陆药业,1.0,488989876,2019-04-03
002258,利尔化学,2.0,524373030,2019-04-03
002381,双箭股份,2.0,428500000,2019-04-03
002796,世嘉科技,2.0,112206755,2019-04-01
002727,一心堂,3.0,567769811,2019-04-03
300146,汤臣倍健,5.0,1468817880,2019-04-03
300285,国瓷材料,1.0,642227373,2019-04-03
300487,蓝晓科技,1.469861,206543750,2019-04-03
002795,永和智控,5.0,200000000,2019-04-02
300176,鸿特科技,1.25,387280800,
002572,索菲亚,5.0,923426310,2019-04-04
002458,益生股份,2.0,337378701,2019-04-09
600887,伊利股份,7.0,6078127608,2019-04-08
002099,海翔药业,3.0,1618820253,2019-04-10
920675,秉扬科技,3.0,106800000,2019-04-09
920146,华阳变速,1.0,77689572,2019-04-12
603127,昭衍新药,3.0,114994600,2019-04-10
920436,大地电气,5.15,73776000,2019-04-10
300657,弘信电子,2.5,104000000,2019-04-09
300623,捷捷微电,3.0,179725560,2019-04-11
300423,昇辉科技,2.28,291400700,2019-04-11
603179,新泉股份,5.0,227725859,2019-04-12
603136,天目湖,7.5,80000000,2019-04-12
300545,联得装备,1.0,144118272,2019-04-12
920992,中科美菱,1.0,68640300,2019-04-17
000948,南天信息,0.5,246606046,2019-04-15
002442,龙星科技,1.0,480000000,2019-04-16
603319,美湖股份,3.7,80920000,2019-04-16
300748,金力永磁,1.1,413424188,2019-04-15
300690,双一科技,4.503058,110944000,2019-04-16
002294,信立泰,8.0,1046016000,2019-04-16
603005,晶方科技,0.7,234191955,2019-04-15
300741,华宝股份,40.0,615880000,2019-04-16
002125,湘潭电化,0.6,345599985,2019-04-16
002107,沃华医药,0.5,360756000,2019-04-16
603278,大业股份,1.1,208000000,2019-04-16
600367,红星发展,0.4,298045000,2019-04-17
002807,江阴银行,0.5,1809529465,2019-04-17
603429,*ST集友,2.0,190400000,2019-04-17
000100,TCL科技,1.0,13549648507,2019-04-18
002245,蔚蓝锂芯,0.25,981311778,2019-04-19
002404,嘉欣丝绸,2.0,577673641,2019-04-18
002318,久立特材,3.0,841530925,2019-04-18
