code,name,div_per_10,total_shares,ex_date
000598,兴蓉环境,1.0,576785850,2011-08-16
002567,唐人神,2.1,138000000,2011-08-19
002557,洽洽食品,7.0,200000000,2011-08-24
300099,尤洛卡,3.0,103350000,2011-08-24
002572,索菲亚,8.0,53500000,2011-08-26
600503,华丽家族,0.7,711922500,2011-08-29
002568,百润股份,4.0,80000000,2011-08-31
300215,电科院,10.0,45000000,2011-08-31
300134,大富科技,6.0,160000000,2011-09-05
601318,中国平安,1.5,7916142092,2011-09-02
601233,桐昆股份,8.0,481800000,2011-09-06
002561,徐家汇,3.2,415763000,2011-09-08
002215,诺普信,1.2,354080000,2011-09-09
002394,联发股份,1.5,215800000,2011-09-09
300142,沃森生物,3.0,150000000,2011-09-16
601857,中国石油,1.6229,183020977818,2011-09-15
002565,顺灏股份,3.0,133500000,2011-09-16
300195,长荣股份,10.0,100000000,2011-09-16
002191,劲嘉股份,3.5,642000000,2011-09-20
002388,新亚制程,1.5,199800000,2011-09-20
600028,中国石化,1.0,86702527774,2011-09-19
002579,中京电子,2.0,97350000,2011-09-20
002569,*ST步森,4.0,93340000,2011-09-20
600970,中材国际,4.5,911081050,2011-09-20
002085,万丰奥威,5.0,390098968,2011-09-21
300235,方直科技,2.0,44000000,2011-09-22
600468,百利电气,0.23,380160000,2011-09-21
300206,理邦仪器,2.0,100000000,2011-09-23
002073,软控股份,0.8,742365000,2011-09-23
002414,高德红外,4.0,300000000,2011-09-23
002369,卓翼科技,1.0,200000000,2011-09-22
300198,*ST纳川,3.0,92000000,2011-09-27
002226,江南化工,6.0,263759664,2011-09-26
300162,雷曼光电,1.0,67000000,2011-09-27
002366,融发核电,4.5,133500000,2011-09-26
600063,皖维高新,0.7,468079150,2011-09-26
000531,穗恒运A,7.4,342541410,2011-09-28
002242,九阳股份,7.0,760950000,2011-09-29
000547,航天发展,0.23,309214163,2011-09-29
002513,蓝丰生化,3.0,74000000,2011-09-30
000637,茂化实华,0.29,519875356,2011-09-30
002413,雷科防务,1.0,147000000,2011-10-10
600282,南钢股份,2.0,3875752457,2011-10-13
002584,西陇科学,1.5,200000000,2011-10-13
300086,康芝药业,1.5,200000000,2011-10-14
600278,东方创业,1.2,401724414,2011-10-14
601717,中创智领,4.5,700000000,2011-10-19
002015,协鑫能科,0.15,239942410,2011-10-27
601718,ST际华,0.25,3857000000,2011-10-26
300225,金力泰,3.0,67000000,2011-10-27
300133,华策影视,3.0,112960000,2011-10-31
601998,中信银行,0.55,46787327034,2011-11-11
600369,西南证券,5.5,2322554562,2011-11-28
600362,江西铜业,2.0,3462729405,2011-12-20
