date,nav,daily_ret,acc_nav
2025-11-27,1.2377,-0.52,1.2377
2025-11-28,1.2749,3.01,1.2749
2025-12-01,1.2909,1.26,1.2909
2025-12-02,1.2707,-1.56,1.2707
2025-12-03,1.2616,-0.72,1.2616
2025-12-04,1.2556,-0.48,1.2556
2025-12-05,1.253,-0.21,1.253
2025-12-08,1.3351,6.55,1.3351
2025-12-09,1.331,-0.31,1.331
2025-12-10,1.307,-1.8,1.307
2025-12-11,1.3014,-0.43,1.3014
2025-12-12,1.323,1.66,1.323
2025-12-15,1.2684,-4.13,1.2684
2025-12-16,1.2366,-2.51,1.2366
2025-12-17,1.2863,4.02,1.2863
2025-12-18,1.3037,1.35,1.3037
2025-12-19,1.2637,-3.07,1.2637
2025-12-22,1.2995,2.83,1.2995
2025-12-23,1.3108,0.87,1.3108
2025-12-24,1.3694,4.47,1.3694
2025-12-25,1.3684,-0.07,1.3684
2025-12-26,1.3937,1.85,1.3937
2025-12-29,1.3852,-0.61,1.3852
2025-12-30,1.3741,-0.8,1.3741
2025-12-31,1.3315,-3.1,1.3315
2026-01-05,1.4548,9.26,1.4548
2026-01-06,1.495,2.76,1.495
2026-01-07,1.5372,2.82,1.5372
2026-01-08,1.5093,-1.81,1.5093
2026-01-09,1.4825,-1.78,1.4825
2026-01-12,1.5099,1.85,1.5099
2026-01-13,1.4718,-2.52,1.4718
2026-01-14,1.4861,0.97,1.4861
2026-01-15,1.5373,3.45,1.5373
2026-01-16,1.6632,8.19,1.6632
2026-01-19,1.6469,-0.98,1.6469
2026-01-20,1.6884,2.52,1.6884
2026-01-21,1.7246,2.14,1.7246
2026-01-22,1.7404,0.92,1.7404
2026-01-23,1.726,-0.83,1.726
2026-01-26,1.7151,-0.63,1.7151
2026-01-27,1.7816,3.88,1.7816
2026-01-28,1.8307,2.76,1.8307
2026-01-29,1.7708,-3.27,1.7708
2026-01-30,1.7936,1.29,1.7936
2026-02-02,1.6614,-7.37,1.6614
2026-02-03,1.701,2.38,1.701
2026-02-04,1.655,-2.7,1.655
2026-02-05,1.6276,-1.66,1.6276
2026-02-06,1.6041,-1.44,1.6041
2026-02-09,1.6397,2.22,1.6397
2026-02-10,1.6219,-1.09,1.6219
2026-02-11,1.5955,-1.63,1.5955
2026-02-12,1.6259,1.91,1.6259
2026-02-13,1.6319,0.37,1.6319
2026-02-24,1.678,2.82,1.678
2026-02-25,1.6512,-1.6,1.6512
2026-02-26,1.6604,0.56,1.6604
2026-02-27,1.6424,-1.08,1.6424
2026-03-02,1.61,-1.97,1.61
2026-03-03,1.5225,-5.43,1.5225
2026-03-04,1.5904,4.46,1.5904
2026-03-05,1.6094,1.19,1.6094
2026-03-06,1.656,2.9,1.656
2026-03-09,1.6633,0.44,1.6633
2026-03-10,1.6969,2.02,1.6969
2026-03-11,1.6765,-1.2,1.6765
2026-03-12,1.6496,-1.6,1.6496
2026-03-13,1.6657,0.98,1.6657
2026-03-16,1.7627,5.82,1.7627
2026-03-17,1.7294,-1.89,1.7294
2026-03-18,1.8198,5.23,1.8198
2026-03-19,1.7692,-2.78,1.7692
2026-03-20,1.7244,-2.53,1.7244
2026-03-23,1.6552,-4.01,1.6552
2026-03-24,1.6797,1.48,1.6797
2026-03-25,1.7199,2.39,1.7199
2026-03-26,1.6829,-2.15,1.6829
2026-03-27,1.6748,-0.48,1.6748
2026-03-30,1.6641,-0.64,1.6641
2026-03-31,1.5989,-3.92,1.5989
2026-04-01,1.6273,1.78,1.6273
2026-04-02,1.5957,-1.94,1.5957
2026-04-03,1.5844,-0.71,1.5844
2026-04-07,1.6118,1.73,1.6118
2026-04-08,1.7038,5.71,1.7038
2026-04-09,1.7022,-0.09,1.7022
2026-04-10,1.7609,3.45,1.7609
2026-04-13,1.7967,2.03,1.7967
2026-04-14,1.8834,4.83,1.8834
2026-04-15,1.851,-1.72,1.851
2026-04-16,1.8779,1.45,1.8779
2026-04-17,1.8715,-0.34,1.8715
2026-04-20,1.8922,1.11,1.8922
2026-04-21,1.9064,0.75,1.9064
2026-04-22,1.9382,1.67,1.9382
2026-04-23,1.8777,-3.12,1.8777
2026-04-24,1.8879,0.54,1.8879
2026-04-27,1.9078,1.05,1.9078
2026-04-28,1.9013,-0.34,1.9013
2026-04-29,1.9387,1.97,1.9387
2026-04-30,1.9431,0.23,1.9431
2026-05-06,2.13,9.62,2.13
2026-05-07,2.1453,0.72,2.1453
2026-05-08,2.1154,-1.39,2.1154
2026-05-11,2.2775,7.66,2.2775
2026-05-12,2.2615,-0.7,2.2615
2026-05-13,2.3615,4.42,2.3615
2026-05-14,2.3526,-0.38,2.3526
2026-05-15,2.3204,-1.37,2.3204
2026-05-18,2.3619,1.79,2.3619
2026-05-19,2.3389,-0.97,2.3389
2026-05-20,2.3769,1.62,2.3769
2026-05-21,2.282,-3.99,2.282
2026-05-22,2.3497,2.97,2.3497
2026-05-25,2.4326,3.53,2.4326
2026-05-26,2.3922,-1.66,2.3922
2026-05-27,2.4149,0.95,2.4149
2026-05-28,2.4044,-0.43,2.4044
2026-05-29,2.3527,-2.15,2.3527
2026-06-01,2.243,-4.66,2.243
2026-06-02,2.2585,0.69,2.2585
2026-06-03,2.3123,2.38,2.3123
2026-06-04,2.4204,4.67,2.4204
2026-06-05,2.2936,-5.24,2.2936
2026-06-08,2.2138,-3.48,2.2138
2026-06-09,2.3299,5.24,2.3299
2026-06-10,2.2938,-1.55,2.2938
2026-06-11,2.3073,0.59,2.3073
2026-06-12,2.3256,0.79,2.3256
2026-06-15,2.4576,5.68,2.4576
2026-06-16,2.4991,1.69,2.4991
2026-06-17,2.6872,7.53,2.6872
2026-06-18,2.7611,2.75,2.7611
2026-06-22,2.898,4.96,2.898
2026-06-23,2.8916,-0.22,2.8916
2026-06-24,3.0097,4.08,3.0097
2026-06-25,3.1948,6.15,3.1948
2026-06-26,3.1968,0.06,3.1968
2026-06-29,3.2764,2.49,3.2764
2026-06-30,3.3176,1.26,3.3176
2026-07-01,3.2822,-1.07,3.2822
2026-07-02,3.0786,-6.2,3.0786
2026-07-03,3.1324,1.75,3.1324
2026-07-06,3.1475,0.48,3.1475
2026-07-07,3.0265,-3.84,3.0265
2026-07-08,2.9623,-2.12,2.9623
2026-07-09,3.0864,4.19,3.0864
2026-07-10,2.9679,-3.84,2.9679
2026-07-13,2.7834,-6.22,2.7834
2026-07-14,2.8621,2.83,2.8621
2026-07-15,2.7322,-4.54,2.7322
2026-07-16,2.6081,-4.54,2.6081
2026-07-17,2.377,-8.86,2.377
2026-07-20,2.2573,-5.04,2.2573
2026-07-21,2.4767,9.72,2.4767
2026-07-22,2.4075,-2.79,2.4075
2026-07-23,2.3493,-2.42,2.3493
